Reg	Orden	Hogar	Fex_c	P3	P4	P5	P6	P7	P8	P8a	P8b	P9	P10	P10n	P10u	Llave_viv	Llave_hog	Fex_c_2011
10	02	02	812.81570184	02	2	35	1	1	2	2	06		303	3	3	200601200023	20060120002302	904.16606363359
10	03	02	812.81570184	03	1	16	5	1	1			1	610	6	10	200601200023	20060120002302	904.16606363359
10	01	01	688.45718869	01	1	27	1	1	2	2	01		406	4	6	200601200024	20060120002401	687.763540991129
10	02	01	688.45718869	02	2	36	1	1	2	2	07		406	4	6	200601200024	20060120002401	687.763540991129
10	03	01	688.45718869	03	2	12	5	1	1			1	407	4	7	200601200024	20060120002401	687.763540991129
10	04	01	688.45718869	03	1	10	5	1	1			1	304	3	4	200601200024	20060120002401	687.763540991129
10	01	01	492.17195553	01	1	55	1	1	2	2	01		302	3	2	200601200025	20060120002501	485.653354822294
10	02	01	492.17195553	02	2	33	1	1	2	2	07		407	4	7	200601200025	20060120002501	485.653354822294
10	03	01	492.17195553	03	1	10	5	1	1			1	304	3	4	200601200025	20060120002501	485.653354822294
10	04	01	492.17195553	03	1	8	5	1	1			1	303	3	3	200601200025	20060120002501	485.653354822294
10	05	01	492.17195553	03	1	7	5	1	1			1	301	3	1	200601200025	20060120002501	485.653354822294
10	06	01	492.17195553	03	2	6	5	2	1			1	300	3	0	200601200025	20060120002501	485.653354822294
10	07	01	492.17195553	03	1	5	5	2	1			1	200	2	0	200601200025	20060120002501	485.653354822294
10	01	01	629.67751814	01	2	42	4	1	2	2	07		408	4	8	200601200026	20060120002601	631.791463031547
10	02	01	629.67751814	03	1	24	5	1	2	2	01		408	4	8	200601200026	20060120002601	631.791463031547
10	03	01	629.67751814	03	1	15	5	1	1			1	409	4	9	200601200026	20060120002601	631.791463031547
10	04	01	629.67751814	03	2	13	5	1	1			1	407	4	7	200601200026	20060120002601	631.791463031547
10	01	01	717.99799992	01	1	34	2	1	2	2	01		611	6	11	200601200027	20060120002701	720.547121845338
10	02	01	717.99799992	02	2	34	2	1	2	2	07		611	6	11	200601200027	20060120002701	720.547121845338
10	03	01	717.99799992	03	1	12	5	1	1			1	406	4	6	200601200027	20060120002701	720.547121845338
10	04	01	717.99799992	03	2	8	5	1	1			1	303	3	3	200601200027	20060120002701	720.547121845338
10	05	01	717.99799992	03	2	6	5	2	1			1	300	3	0	200601200027	20060120002701	720.547121845338
10	01	01	614.92865224	01	1	63	2	1	2	2	01		304	3	4	200601200028	20060120002801	611.214406115766
10	02	01	614.92865224	02	2	59	2	1	2	2	07		304	3	4	200601200028	20060120002801	611.214406115766
10	03	01	614.92865224	05	2	17	5	1	2	2	02		305	3	5	200601200028	20060120002801	611.214406115766
10	04	01	614.92865224	09	1	1	5									200601200028	20060120002801	611.214406115766
10	01	01	711.59218537	01	1	32	1	1	2	2	01		408	4	8	200601200029	20060120002901	712.666790564835
10	02	01	711.59218537	02	2	27	1	1	2	2	07		610	6	10	200601200029	20060120002901	712.666790564835
10	03	01	711.59218537	03	1	12	5	1	1			1	406	4	6	200601200029	20060120002901	712.666790564835
10	04	01	711.59218537	03	2	9	5	1	1			1	304	3	4	200601200029	20060120002901	712.666790564835
10	05	01	711.59218537	03	1	2	5									200601200029	20060120002901	712.666790564835
10	01	01	753.84191853	01	2	50	2	1	2	2	07		305	3	5	200601200030	20060120003001	752.982586696866
10	02	01	753.84191853	02	1	55	2	1	2	2	01		302	3	2	200601200030	20060120003001	752.982586696866
10	03	01	753.84191853	03	1	25	5	1	2	2	01		303	3	3	200601200030	20060120003001	752.982586696866
10	04	01	753.84191853	03	2	9	5	1	1			1	301	3	1	200601200030	20060120003001	752.982586696866
10	05	01	753.84191853	03	1	6	5	1	1			1	301	3	1	200601200030	20060120003001	752.982586696866
10	01	01	748.65528374	01	2	46	1	1	2	2	01		408	4	8	200601200031	20060120003101	749.974875976661
10	02	01	748.65528374	02	1	55	1	1	2	2	01		409	4	9	200601200031	20060120003101	749.974875976661
10	03	01	748.65528374	03	1	20	5	1	2	2	02		503	5	3	200601200031	20060120003101	749.974875976661
10	01	01	765.40685088	01	1	38	2	1	2	2	01		301	3	1	200601200032	20060120003201	768.174549057293
10	02	01	765.40685088	02	2	35	2	1	2	2	06		302	3	2	200601200032	20060120003201	768.174549057293
10	03	01	765.40685088	03	1	16	5	1	1			2	610	6	10	200601200032	20060120003201	768.174549057293
10	04	01	765.40685088	03	2	6	5	2	1			1	300	3	0	200601200032	20060120003201	768.174549057293
10	01	01	603.43318237	01	1	59	1	1	2	2	11		301	3	1	200601200033	20060120003301	600.511042093384
10	02	01	603.43318237	02	2	60	1	1	2	2	11		301	3	1	200601200033	20060120003301	600.511042093384
10	03	01	603.43318237	03	2	28	5	1	2	2	01		303	3	3	200601200033	20060120003301	600.511042093384
10	04	01	603.43318237	05	1	11	5	1	2	2	06		304	3	4	200601200033	20060120003301	600.511042093384
10	05	01	603.43318237	05	2	8	5	1	1			1	301	3	1	200601200033	20060120003301	600.511042093384
10	06	01	603.43318237	05	1	9	5	1	1			1	304	3	4	200601200033	20060120003301	600.511042093384
10	01	01	507.73172104	01	2	55	4	1	2	2	06		305	3	5	200601200034	20060120003401	502.722577479303
10	02	01	507.73172104	03	2	24	5	1	2	2	06		305	3	5	200601200034	20060120003401	502.722577479303
10	03	01	507.73172104	03	2	30	2	1	2	2	02		305	3	5	200601200034	20060120003401	502.722577479303
10	04	01	507.73172104	04	1	44	2	1	2	2	01		305	3	5	200601200034	20060120003401	502.722577479303
10	05	01	507.73172104	05	2	13	5	1	1			1	407	4	7	200601200034	20060120003401	502.722577479303
10	06	01	507.73172104	05	1	10	5	1	1			1	400	4	0	200601200034	20060120003401	502.722577479303
10	07	01	507.73172104	05	1	7	5	1	1			1	301	3	1	200601200034	20060120003401	502.722577479303
10	08	01	507.73172104	05	1	0	5									200601200034	20060120003401	502.722577479303
10	01	01	628.04832356	01	1	52	1	2	2	2	01		100	1	0	200601200035	20060120003501	625.571908910224
10	02	01	628.04832356	02	2	22	1	1	2	2	02		305	3	5	200601200035	20060120003501	625.571908910224
10	03	01	628.04832356	03	1	5	5	2	1			1	300	3	0	200601200035	20060120003501	625.571908910224
10	04	01	628.04832356	03	2	2	5									200601200035	20060120003501	625.571908910224
10	01	01	674.99696504	01	2	65	4	1	2	2	11		305	3	5	200601200036	20060120003601	676.547702973692
10	02	01	674.99696504	03	2	30	5	1	2	2	02		611	6	11	200601200036	20060120003601	676.547702973692
10	03	01	674.99696504	05	2	3	5									200601200036	20060120003601	676.547702973692
10	01	01	812.81570184	01	1	40	2	1	2	2	01		408	4	8	200601200037	20060120003701	815.801976269249
10	02	01	812.81570184	02	2	36	2	1	2	2	01		305	3	5	200601200037	20060120003701	815.801976269249
10	03	01	812.81570184	03	1	16	5	1	1			1	409	4	9	200601200037	20060120003701	815.801976269249
10	01	01	668.74331775	01	1	62	2	1	2	2	11		305	3	5	200601200038	20060120003801	666.722164608224
10	02	01	668.74331775	02	2	58	2	1	2	2	11		302	3	2	200601200038	20060120003801	666.722164608224
10	03	01	668.74331775	03	2	16	5	1	2	2	02		611	6	11	200601200038	20060120003801	666.722164608224
10	01	01	711.37055562	01	1	37	2	1	2	2	01		305	3	5	200601200039	20060120003901	710.123399311754
10	02	01	711.37055562	02	2	32	2	1	2	2	01		305	3	5	200601200039	20060120003901	710.123399311754
10	03	01	711.37055562	03	1	9	5	1	1			1	303	3	3	200601200039	20060120003901	710.123399311754
10	04	01	711.37055562	03	1	4	5									200601200039	20060120003901	710.123399311754
10	01	01	818.99988665	01	1	54	1	1	2	2	01		302	3	2	200601200040	20060120004001	821.13891629667
10	02	01	818.99988665	02	2	25	1	1	2	2	01		305	3	5	200601200040	20060120004001	821.13891629667
10	01	01	636.30966521	01	2	59	4	1	2	2	02		303	3	3	200601200041	20060120004101	635.585478789789
10	02	01	636.30966521	03	2	19	5	1	2	2	02		611	6	11	200601200041	20060120004101	635.585478789789
10	03	01	636.30966521	08	2	75	5	2	2	2	11		100	1	0	200601200041	20060120004101	635.585478789789
10	01	01	665.18088442	01	1	23	1	1	2	2	01		305	3	5	200601200042	20060120004201	667.368592660096
10	02	01	665.18088442	02	2	31	1	1	2	2	02		406	4	6	200601200042	20060120004201	667.368592660096
10	03	01	665.18088442	03	2	2	5									200601200042	20060120004201	667.368592660096
10	01	01	727.02483136	01	2	54	1	1	2	2	11		302	3	2	200601200043	20060120004301	728.932467249523
10	02	01	727.02483136	02	1	84	1	1	2	2	11		100	1	0	200601200043	20060120004301	728.932467249523
10	03	01	727.02483136	03	2	35	5	1	2	2	02		611	6	11	200601200043	20060120004301	728.932467249523
10	04	01	727.02483136	03	2	28	5	1	2	2	02		611	6	11	200601200043	20060120004301	728.932467249523
10	05	01	727.02483136	05	1	2	5									200601200043	20060120004301	728.932467249523
10	01	01	570.72611984	01	2	36	1	1	2	2	02		408	4	8	200601200044	20060120004401	570.148828246593
10	02	01	570.72611984	02	1	43	1	2	2	2	02		100	1	0	200601200044	20060120004401	570.148828246593
10	03	01	570.72611984	03	2	18	5	1	2	2	02		408	4	8	200601200044	20060120004401	570.148828246593
10	04	01	570.72611984	05	2	2	5									200601200044	20060120004401	570.148828246593
10	05	01	570.72611984	05	2	0	5									200601200044	20060120004401	570.148828246593
10	06	01	570.72611984	03	2	15	5	1	1			1	407	4	7	200601200044	20060120004401	570.148828246593
10	01	01	703.22161703	01	2	58	4	2	2	2	02		100	1	0	200601200045	20060120004501	704.273985289276
10	02	01	703.22161703	03	1	21	5	2	2	2	02		100	1	0	200601200045	20060120004501	704.273985289276
10	01	01	658.77506987	01	1	23	1	1	2	2	02		407	4	7	200601200046	20060120004601	659.488261379594
10	02	01	658.77506987	02	2	26	1	1	2	2	01		407	4	7	200601200046	20060120004601	659.488261379594
10	03	01	658.77506987	03	1	11	5	1	1			1	303	3	3	200601200046	20060120004601	659.488261379594
10	01	01	699.58972122	01	1	16	5	1	2	2	02		303	3	3	200601200047	20060120004701	700.431815003103
10	01	01	765.18522113	01	1	35	1	1	2	2	01		611	6	11	200601200048	20060120004801	765.631157804212
10	02	01	765.18522113	02	2	26	1	1	2	2	02		409	4	9	200601200048	20060120004801	765.631157804212
10	03	01	765.18522113	03	1	6	5	1	1			1	301	3	1	200601200048	20060120004801	765.631157804212
10	01	01	747.92510355	01	1	65	2	1	2	2	11		305	3	5	200601200049	20060120004901	746.746375170526
10	02	01	747.92510355	02	2	68	2	1	2	2	11		305	3	5	200601200049	20060120004901	746.746375170526
10	03	01	747.92510355	05	2	7	5	2	1			1	300	3	0	200601200049	20060120004901	746.746375170526
10	01	01	726.54893598	01	1	64	2	1	2	2	11		611	6	11	200601200050	20060120005001	725.834038339213
10	02	01	726.54893598	02	2	48	2	1	2	2	11		305	3	5	200601200050	20060120005001	725.834038339213
10	03	01	726.54893598	03	2	16	5	1	1			1	610	6	10	200601200050	20060120005001	725.834038339213
10	01	01	722.14319324	01	1	30	1	1	2	2	01		611	6	11	200601200051	20060120005101	722.377899240471
10	02	01	722.14319324	02	2	26	1	1	2	2	07		303	3	3	200601200051	20060120005101	722.377899240471
10	03	01	722.14319324	03	2	10	5	1	1			1	303	3	3	200601200051	20060120005101	722.377899240471
10	04	01	722.14319324	03	1	7	5	1	1			1	301	3	1	200601200051	20060120005101	722.377899240471
10	05	01	722.14319324	03	2	3	5									200601200051	20060120005101	722.377899240471
10	06	01	722.14319324	06	2	73	3	1	2	2	11		305	3	5	200601200051	20060120005101	722.377899240471
10	01	01	813.45394111	01	1	27	1	1	2	2	01		611	6	11	200601200052	20060120005201	817.327099442875
10	02	01	813.45394111	02	2	32	1	1	2	2	07		611	6	11	200601200052	20060120005201	817.327099442875
10	03	01	813.45394111	03	1	13	5	1	1			1	406	4	6	200601200052	20060120005201	817.327099442875
10	04	01	813.45394111	03	2	6	5	2	1			1	300	3	0	200601200052	20060120005201	817.327099442875
10	05	01	813.45394111	08	1	22	5	1	2	2	02		611	6	11	200601200052	20060120005201	817.327099442875
10	01	01	902.89091677	01	1	61	2	1	2	2	11		302	3	2	200601200053	20060120005301	905.833949576742
10	02	01	902.89091677	02	2	50	2	1	2	2	11		302	3	2	200601200053	20060120005301	905.833949576742
10	03	01	902.89091677	03	1	27	5	1	2	2	02		611	6	11	200601200053	20060120005301	905.833949576742
10	04	01	902.89091677	03	1	23	5	1	1			2	504	5	4	200601200053	20060120005301	905.833949576742
10	05	01	902.89091677	03	1	18	5	1	1			1	407	4	7	200601200053	20060120005301	905.833949576742
10	01	01	719.92301486	01	2	47	4	2	2	2	01		100	1	0	200601200054	20060120005401	720.115880685632
10	02	01	719.92301486	03	1	16	5	1	1			1	409	4	9	200601200054	20060120005401	720.115880685632
10	03	01	719.92301486	03	2	14	5	1	1			1	408	4	8	200601200054	20060120005401	720.115880685632
10	04	01	719.92301486	08	1	60	4	1	2	2	11		406	4	6	200601200054	20060120005401	720.115880685632
10	01	01	784.62554686	01	1	48	1	2	2	2	02		100	1	0	200601200055	20060120005501	783.822797761334
10	02	01	784.62554686	02	2	38	1	1	2	2	07		302	3	2	200601200055	20060120005501	783.822797761334
10	03	01	784.62554686	03	2	15	5	1	2	2	02		305	3	5	200601200055	20060120005501	783.822797761334
10	04	01	784.62554686	03	1	13	5	1	1			1	400	4	0	200601200055	20060120005501	783.822797761334
10	05	01	784.62554686	03	1	10	5	1	1			1	301	3	1	200601200055	20060120005501	783.822797761334
10	06	01	784.62554686	03	1	2	5									200601200055	20060120005501	783.822797761334
10	07	01	784.62554686	06	2	70	4	2	2	2	11		100	1	0	200601200055	20060120005501	783.822797761334
10	08	01	784.62554686	08	1	34	5	2	2	2	11		100	1	0	200601200055	20060120005501	783.822797761334
10	01	01	1013.4905832	01	2	65	4	1	2	2	11		302	3	2	200601200056	20060120005601	1026.89780109964
10	02	01	1013.4905832	09	1	65	4	1	2	2	11		302	3	2	200601200056	20060120005601	1026.89780109964
10	03	01	1013.4905832	03	1	43	5	1	2	2	06		305	3	5	200601200056	20060120005601	1026.89780109964
10	04	01	1013.4905832	03	1	30	5	1	2	2	06		611	6	11	200601200056	20060120005601	1026.89780109964
10	01	02	769.04713629	01	1	25	2	1	2	2	01		302	3	2	200601200056	20060120005602	1026.89780109964
10	02	02	769.04713629	02	2	35	2	1	2	2	07		305	3	5	200601200056	20060120005602	1026.89780109964
10	03	02	769.04713629	03	1	6	5	2	1			1	300	3	0	200601200056	20060120005602	1026.89780109964
10	04	02	769.04713629	03	2	0	5									200601200056	20060120005602	1026.89780109964
10	01	01	710.34901796	01	2	58	4	1	2	2	11		302	3	2	200601200057	20060120005701	711.331926579793
10	02	01	710.34901796	03	2	38	5	1	2	2	02		305	3	5	200601200057	20060120005701	711.331926579793
10	03	01	710.34901796	03	1	30	5	2	2	2	11		100	1	0	200601200057	20060120005701	711.331926579793
10	04	01	710.34901796	03	2	22	5	1	2	2	02		305	3	5	200601200057	20060120005701	711.331926579793
