Reg	Orden	Hogar	Fex_c	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	Llave_viv	Llave_hog	Fex_c_2011
50	01	01	3602.6709233	2	1												200601300060	20060130006001	3609.34404618402
50	02	01	3602.6709233	2	4	2	2	2	2	1	02	1	2				200601300060	20060130006001	3609.34404618402
50	03	01	3602.6709233	2	3	2	2	2	2	2							200601300060	20060130006001	3609.34404618402
50	01	01	3262.6789432	2	1												200601300061	20060130006101	3220.98538309123
50	02	01	3262.6789432	2	4	2	2	2	2	2							200601300061	20060130006101	3220.98538309123
50	01	01	2405.5354845	2	4	2	2	2	2	2							200601300062	20060130006201	2498.93009737795
50	02	01	2405.5354845	2	4	2	2	2	2	2							200601300062	20060130006201	2498.93009737795
50	03	01	2405.5354845	2	3	2	2	2	2	2							200601300062	20060130006201	2498.93009737795
50	04	01	2405.5354845	2	4	2	2	2	2	2							200601300062	20060130006201	2498.93009737795
50	05	01	2405.5354845	2	6												200601300062	20060130006201	2498.93009737795
50	06	01	2405.5354845	2	3	2	2	2	2	2							200601300062	20060130006201	2498.93009737795
50	01	01	3240.9771957	2	1												200601300063	20060130006301	3242.70550238511
50	02	01	3240.9771957	2	4	2	2	2	2	2							200601300063	20060130006301	3242.70550238511
50	01	01	2757.5380373	2	1												200601300064	20060130006401	2728.46569340836
50	02	01	2757.5380373	2	4	2	2	2	2	2							200601300064	20060130006401	2728.46569340836
50	01	01	2819.9216143	2	1												200601300065	20060130006501	2812.53869220701
50	02	01	2819.9216143	2	4	2	2	2	2	2							200601300065	20060130006501	2812.53869220701
50	03	01	2819.9216143	2	5	2	2	2	2	2							200601300065	20060130006501	2812.53869220701
50	04	01	2819.9216143	2	1												200601300065	20060130006501	2812.53869220701
50	05	01	2819.9216143	2	3	2	2	2	2	2							200601300065	20060130006501	2812.53869220701
50	06	01	2819.9216143	2	1												200601300065	20060130006501	2812.53869220701
50	01	01	3624.3726708	1	1												200601300066	20060130006601	3587.62392689013
50	02	01	3624.3726708	1	4	2	2	2	2	2							200601300066	20060130006601	3587.62392689013
50	04	01	3624.3726708	1	1												200601300066	20060130006601	3587.62392689013
50	01	01	2479.0731085	1	1												200601300067	20060130006701	2451.74061118502
50	02	01	2479.0731085	1	4	2	2	2	2	2							200601300067	20060130006701	2451.74061118502
50	03	01	2479.0731085	1	4	2	2	2	1							1	200601300067	20060130006701	2451.74061118502
50	05	01	2479.0731085	1	5	2	2	2	2	2							200601300067	20060130006701	2451.74061118502
50	06	01	2479.0731085	1	5	2	2	1									200601300067	20060130006701	2451.74061118502
50	07	01	2479.0731085	1	3	2	2	1									200601300067	20060130006701	2451.74061118502
50	08	01	2479.0731085	1	3	2	2	2	2	2							200601300067	20060130006701	2451.74061118502
50	01	01	3262.6163001	3	1												200601300068	20060130006801	3243.41912073428
50	02	01	3262.6163001	3	4	2	2	2	2	2							200601300068	20060130006801	3243.41912073428
50	03	01	3262.6163001	3	1												200601300068	20060130006801	3243.41912073428
