Reg	Orden	Hogar	Fex_c	P60	P61	P61a	P62	P63	P64	P64a	Valor65a	Valor65b	Valor65c	Valor66a	Valor66b	Valor66c	Llave_viv	Llave_hog	Fex_c_2011
80	04	01	806.63151704	2				2			0	0	0	0	0	0	200601200111	20060120011101	810.465036241827
80	03	01	759.00103633	2				2			0	0	0	0	0	0	200601200112	20060120011201	760.29421777679
80	01	01	741.83945437	1	4	5	2				0	0	381500	0	0	0	200601200114	20060120011401	740.747611135134
80	03	01	776.31478554	2				2			0	0	0	0	0	0	200601200116	20060120011601	777.895617333482
80	04	01	776.31478554	2				2			0	0	0	0	0	0	200601200116	20060120011601	777.895617333482
80	05	01	776.31478554	2				2			0	0	0	0	0	0	200601200116	20060120011601	777.895617333482
80	03	01	759.00103633	2				2			0	0	0	0	0	0	200601200117	20060120011701	760.29421777679
80	02	01	839.51313185	1	4	3	2				0	0	0	0	0	0	200601200118	20060120011801	840.058797791082
80	04	01	839.51313185	2				2			0	0	0	0	0	0	200601200118	20060120011801	840.058797791082
80	01	01	805.99987248	1	4	5	2				0	0	98	0	0	0	200601200119	20060120011901	806.574711427722
80	02	01	628.04832356	1	2	3	2				0	0	0	0	0	0	200601200120	20060120012001	625.571908910224
80	02	01	734.86848964	1	4	3	2				0	0	0	0	0	0	200601200121	20060120012101	733.061738895868
80	03	01	734.86848964	1	4	7	2				250000	0	0	0	0	0	200601200121	20060120012101	733.061738895868
80	04	01	734.86848964	1	4	3	2				0	0	0	0	0	0	200601200121	20060120012101	733.061738895868
80	02	01	688.45718869	2				2			0	0	0	0	0	0	200601200122	20060120012201	687.763540991129
80	03	01	688.45718869	1	3	2	2				0	0	0	0	0	0	200601200122	20060120012201	687.763540991129
80	02	01	634.86415293	1	4	8	2				0	0	0	0	0	0	200601200123	20060120012301	634.799173751752
80	03	01	634.86415293	2				2			0	0	0	0	0	0	200601200123	20060120012301	634.799173751752
80	02	01	474.22932134	2				2			0	0	0	0	0	0	200601200124	20060120012401	471.80158527365
80	01	01	745.47135019	1	4	5	2				0	100000	600000	0	0	0	200601200125	20060120012501	744.589781421308
80	02	01	745.47135019	2				2			0	0	0	0	0	0	200601200125	20060120012501	744.589781421308
80	02	01	813.26366411	1	4	3	2				0	0	0	0	0	0	200601200127	20060120012701	814.259052000068
80	03	01	813.26366411								0	0	0	0	0	0	200601200127	20060120012701	814.259052000068
80	03	01	700.22136578	1	1	8	2				0	0	0	0	0	0	200601200128	20060120012801	704.322139817208
80	04	01	700.22136578	2				2			0	0	0	0	0	0	200601200128	20060120012801	704.322139817208
80	02	01	713.03769766	1	4	8	2				0	0	0	98	0	0	200601200129	20060120012901	713.453095602872
80	01	01	544.67589684	1	3	4	2				0	0	0	0	0	0	200601200130	20060120013001	595.453238936026
80	03	02	754.27431836	2				2			0	0	0	0	0	0	200601200130	20060120013002	595.453238936026
80	06	02	754.27431836	1	4	3	2				0	0	0	0	0	0	200601200130	20060120013002	595.453238936026
80	03	01	742.47109893	2				2			0	0	0	0	0	0	200601200132	20060120013201	744.637935949239
80	04	01	742.47109893								0	0	0	0	0	0	200601200132	20060120013201	744.637935949239
80	02	01	618.11258578	2				2			0	0	0	0	0	0	200601200133	20060120013301	616.59950067112
80	01	01	713.03769766	1	4	3	2				0	0	0	2400000	0	0	200601200134	20060120013401	713.453095602872
80	01	01	709.40580184	1	1	0	2				0	0	408000	500000	0	0	200601200135	20060120013501	709.610925316698
80	02	01	703.22161703	2				2			0	0	0	0	0	0	200601200138	20060120013801	704.273985289276
80	02	01	717.77637017	2				2			0	0	0	0	0	0	200601200140	20060120014001	718.003730592257
80	02	01	717.77637017	1	3	0	2				0	0	0	0	0	0	200601200142	20060120014201	718.003730592257
80	03	01	488.58982286	2				2			0	0	0	0	0	0	200601200143	20060120014301	486.730109460224
80	04	01	488.58982286	2				2			0	0	0	0	0	0	200601200143	20060120014301	486.730109460224
80	01	01	846.32896121	1	4	0	2				0	0	0	0	0	0	200601200144	20060120014401	849.28606263261
80	02	01	846.32896121	2				2			0	0	0	0	0	0	200601200144	20060120014401	849.28606263261
80	04	01	846.32896121	2				2			0	0	0	0	0	0	200601200144	20060120014401	849.28606263261
80	05	01	846.32896121	2				2			0	0	0	0	0	0	200601200144	20060120014401	849.28606263261
80	05	01	620.63706512	1	4	4	2				0	0	0	0	0	0	200601200145	20060120014501	623.966325612333
80	03	01	677.18334857	2				2			0	0	0	0	0	0	200601200148	20060120014801	679.603568221828
80	01	01	709.40580184	1	4	5	2				0	0	381500	0	0	0	200601200149	20060120014901	709.610925316698
80	04	01	700.22136578	2				1	2	12	0	0	0	0	0	0	200601200151	20060120015101	704.322139817208
80	01	01	805.99987248								0	0	0	1500000	0	0	200601200152	20060120015201	806.574711427722
80	01	01	709.40580184	2				2			0	0	300000	0	0	0	200601200153	20060120015301	709.610925316698
80	02	01	1518.0020727	1	4	6	2				0	0	0	0	0	0	200601200155	20060120015501	1520.58843555358
80	01	01	1418.8116037	2				2			0	0	0	98	0	0	200601200157	20060120015701	1419.2218506334
80	02	01	1350.914349	1	3	3	2				0	0	0	98	0	0	200601200158	20060120015801	1346.39867224436
80	02	01	1363.7259782	1	2	3	1		1	09	0	0	0	0	0	0	200601200160	20060120016001	1362.15933480537
80	03	01	1259.3550363	2				2			0	0	0	0	0	0	200601200161	20060120016101	1263.58292606309
80	04	01	1259.3550363	2				2			0	0	0	0	0	0	200601200161	20060120016101	1263.58292606309
80	02	01	1340.7350384	1	4	3	2				0	0	0	0	0	0	200601200162	20060120016201	1340.7526067606
80	03	01	1223.4583125	2				2			0	0	0	0	0	0	200601200164	20060120016401	1219.79184835609
80	04	01	1223.4583125	2				2			0	0	0	0	0	0	200601200164	20060120016401	1219.79184835609
80	03	01	812.81570184	2				2			0	0	0	0	0	0	200601200165	20060120016501	815.801976269249
80	01	01	955.29140146	1	4	5	2				0	250000	98	0	0	0	200601200166	20060120016601	956.923728798477
80	03	01	955.29140146	2				2			0	0	0	0	0	0	200601200166	20060120016601	956.923728798477
80	01	01	858.69733082	1	4	5	2				0	0	98	0	0	0	200601200167	20060120016701	859.959942687453
80	02	01	858.69733082	2				2			0	0	0	0	0	0	200601200167	20060120016701	859.959942687453
80	02	01	752.40683671	2				2			0	0	0	0	0	0	200601200168	20060120016801	753.610344188344
80	02	01	818.99988665	1	4	3	2				0	0	0	0	0	0	200601200170	20060120017001	821.13891629667
80	03	01	736.0876694	2				2			0	0	0	0	0	0	200601200172	20060120017201	737.934359456166
80	04	01	736.0876694	2				2			0	0	0	0	0	0	200601200172	20060120017201	737.934359456166
80	02	01	714.17698446	1	4	3	2				0	0	0	0	0	0	200601200174	20060120017401	712.423055295609
80	04	01	714.17698446								0	0	0	0	0	0	200601200174	20060120017401	712.423055295609
80	05	01	685.9048997	2				2			0	0	0	0	0	0	200601200175	20060120017501	686.268771249881
80	06	01	685.9048997	1	2	3	2				0	0	0	200000	0	0	200601200175	20060120017501	686.268771249881
80	01	01	726.03771182	1	4	4	2				0	0	0	0	0	0	200601200176	20060120017601	728.017300471821
80	03	01	726.03771182								0	0	0	0	0	0	200601200176	20060120017601	728.017300471821
80	02	01	671.9272513	2				2			0	0	0	0	0	0	200601200179	20060120017901	672.107259163578
80	04	01	671.9272513	2				2			0	0	0	0	0	0	200601200179	20060120017901	672.107259163578
80	01	01	709.40580184	1	4	5	2				0	0	381500	0	0	0	200601200180	20060120018001	709.610925316698
80	01	01	709.40580184								0	390000	0	0	0	0	200601200182	20060120018201	709.610925316698
80	05	01	656.37494814	1	1	8	2				0	0	0	0	0	0	200601200183	20060120018301	656.048284553381
80	03	01	736.0876694	2				2			0	0	0	0	0	0	200601200184	20060120018401	737.934359456166
80	04	01	736.0876694	2				2			0	0	0	0	0	0	200601200184	20060120018401	737.934359456166
80	01	01	707.43061758	1	3	5	2				0	0	408000	0	0	0	200601200186	20060120018601	707.684388792127
80	02	01	777.33985254	1	4	4	2				0	0	0	0	0	0	200601200187	20060120018701	775.92092628098
80	02	01	564.32030529	1	4	3	2				0	0	0	0	0	0	200601200188	20060120018801	562.26849696609
80	03	01	564.32030529	2				2			0	0	0	0	0	0	200601200188	20060120018801	562.26849696609
80	04	01	564.32030529	2				2			0	0	0	0	0	0	200601200188	20060120018801	562.26849696609
80	02	05	681.86298908	1	4	3	2				0	0	0	0	0	0	200601200189	20060120018905	788.539924064964
80	04	01	700.22136578	2				2			0	0	0	0	0	0	200601200190	20060120019001	704.322139817208
80	02	01	778.81687986	2				2			0	0	0	0	0	0	200601200191	20060120019101	784.085687487267
80	04	01	778.81687986	1	1	8	2				0	0	0	0	0	0	200601200191	20060120019101	784.085687487267
80	07	01	778.81687986	1	4	3	2				0	0	0	0	0	0	200601200191	20060120019101	784.085687487267
