Reg	Orden	Hogar	Fex_c	P24	P26	P27	P26n	P27a	P27bi	P27bii	Valor28	P29	Valor29	P30	Valor30	P30a	Valor30a	P30b	Valor30b	Valor31	Valor31a	Valor32a	Valor32b	Valor33a	Valor33b	Valor33c	P33a	P33b	P33c	P33d	P33e	Llave_viv	Llave_hog	Fex_c_2011
60	01	01	4085.0577299	61	01	5	0118													98	98	0	0	0	0	0	1	2		2		200601300045	20060130004501	4075.73734213041
60	01	01	2584.9559095	61	01	5	0117													98	98	0	0	0	0	0	2			2		200601300046	20060130004601	2601.61850658916
60	01	01	3140.1358599	61	01	5	0118													1000000	100000	0	0	0	0	0	1	2		2		200601300047	20060130004701	3169.00444625262
60	01	01	1752.8552348	61	01	5	0115													98	98	0	0	0	0	0	1	2		2		200601300048	20060130004801	1786.76668841541
60	01	01	3837.8536965	61	01	6	0118													98	0	0	0	0	0	0	1	2		2		200601300049	20060130004901	3793.6637774829
60	02	01	3837.8536965	61	01	6	0118													98	98	0	0	0	0	0	2			2		200601300049	20060130004901	3793.6637774829
60	03	01	3837.8536965	62	01	4	0118	2			98	1	98	1	98	2		2				0	0	0	0	0	2			2		200601300049	20060130004901	3793.6637774829
60	01	01	3498.4867535	61	01	5	0118													3000000	270000	0	0	0	0	0	1	1	5	2		200601300050	20060130005001	3540.8952629194
60	03	01	3498.4867535	61	01	5	0115													3000000	250000	0	0	0	0	0	1	2		2		200601300050	20060130005001	3540.8952629194
60	01	01	3140.1358599	61	01	5	0118													98	98	0	0	0	0	0	1	1	5	2		200601300051	20060130005101	3169.00444625262
60	02	01	3140.1358599	41	52	5	5211													98	100000	0	0	0	0	0	1	1	5	2		200601300051	20060130005101	3169.00444625262
60	01	01	3549.7295228	62	01	4	0115	2			120000	2		2		2		2				0	0	0	0	0	1	2		2		200601300052	20060130005201	3534.40509848195
60	02	01	3549.7295228	53	91	1	9199	2			100000	1	98	2		2		2				0	0	0	0	0	1	2		2		200601300052	20060130005201	3534.40509848195
60	02	01	3140.1358599	62	01	4	0118	2			98	2		2		2		2				0	0	0	0	0	1	2		2		200601300053	20060130005301	3169.00444625262
60	01	01	3409.2360753	95	45	1	4521	2			350000	2		2		2		2				0	0	0	0	0	2			2		200601300054	20060130005401	3395.33431159151
60	01	01	2866.659224	61	01	5	0118													98	100000	0	0	0	0	0	1	2		2		200601300055	20060130005501	2915.89440173016
60	04	01	2866.659224	62	01	4	0118	2			132000	2		2		2		2				0	0	0	0	0	1	2		2		200601300055	20060130005501	2915.89440173016
60	05	01	2866.659224	61	01	5	0118													98	100000	0	0	0	0	0	1	2		2		200601300055	20060130005501	2915.89440173016
60	01	01	3218.2230963	62	01	4	0118	2			80000	2		2		2		2				0	0	0	0	0	1	2		2		200601300056	20060130005601	3216.57910864864
60	03	01	3218.2230963	53	55	1	5530	2			220000	2		2		2		2				0	0	0	0	0	1	2		2		200601300056	20060130005601	3216.57910864864
60	01	01	2412.3737817	39	52	1	5211	2			156000	2		2		2		2				0	0	0	0	0	1	2		2		200601300057	20060130005701	2474.77131976996
60	01	01	2588.6747822	62	01	4	0118	2			70000	2		2		2		2				0	0	0	0	0	1	2		2		200601300058	20060130005801	2603.98748557866
60	03	01	2588.6747822	45	52	1	5233	2			80000	2		2		2		2				0	0	0	0	0	1	2		2		200601300058	20060130005801	2603.98748557866
60	01	01	3831.4728464	61	01	5	0118													1800000	150000	0	0	0	0	0	1	2		2		200601300059	20060130005901	3818.82413028414
60	01	01	3602.6709233	62	01	4	0118	2			64000	2		2		2		2				0	0	0	0	0	1	2		2		200601300060	20060130006001	3609.34404618402
60	01	01	3262.6789432	62	01	4	0118	2			200000	2		2		2		2				0	0	0	0	0	1	2		2		200601300061	20060130006101	3220.98538309123
60	01	01	3240.9771957	61	01	5	0118													1200000	100000	0	0	0	0	0	1	2		2		200601300063	20060130006301	3242.70550238511
