Reg	Orden	Hogar	Fex_c	P34	P35a	P35b	P36_1	P36_2	P36a	Llave_viv	Llave_hog	Fex_c_2011
61	02	01	717.77637017	30	1	18	2		002	200601200082	20060120008201	718.003730592257
61	01	01	784.59104985	48	2		2		084	200601200083	20060120008301	788.075693953664
61	02	01	784.59104985	48	2		2		003	200601200083	20060120008301	788.075693953664
61	03	01	784.59104985	40	2		2		000	200601200083	20060120008301	788.075693953664
61	01	01	717.77637017	60	2		1	10	005	200601200084	20060120008401	718.003730592257
61	01	01	818.99988665	56	2		2		336	200601200085	20060120008501	821.13891629667
61	01	01	717.77637017	48	2		2		240	200601200086	20060120008601	718.003730592257
61	01	01	671.36506923	48	2		2		036	200601200087	20060120008701	672.705532687518
61	01	01	812.81570184	50	2		2		030	200601200088	20060120008801	815.801976269249
61	02	01	765.18522113	72	1	72	2		024	200601200089	20060120008901	765.631157804212
61	01	01	736.0876694	24	2		2		003	200601200090	20060120009001	737.934359456166
61	02	01	736.0876694	48	2		2		048	200601200090	20060120009001	737.934359456166
61	01	01	784.59104985	48	2		2		003	200601200091	20060120009101	788.075693953664
61	03	01	784.59104985	70	2		2		005	200601200091	20060120009101	788.075693953664
61	01	01	830.12945105	9	2		2		002	200601200092	20060120009201	833.40337582594
61	02	01	830.12945105	72	1	24	2		003	200601200092	20060120009201	833.40337582594
61	03	01	830.12945105	75	2		2		005	200601200092	20060120009201	833.40337582594
61	04	01	830.12945105	60	2		2		000	200601200092	20060120009201	833.40337582594
61	06	01	830.12945105	50	2		2		004	200601200092	20060120009201	833.40337582594
61	02	01	809.6317683	70	2		2		360	200601200093	20060120009301	810.416881713895
61	01	01	569.48455506	72	1	72	2		005	200601200094	20060120009401	564.099452898866
61	08	01	569.48455506	60	2		2		060	200601200094	20060120009401	564.099452898866
61	01	01	682.27300389	30	2		2		006	200601200095	20060120009501	682.426600963707
61	01	01	818.99988665	32	2		2		005	200601200096	20060120009601	821.13891629667
61	01	01	694.86300324	60	2		2		024	200601200097	20060120009701	695.643872271632
61	03	01	694.86300324	20	2		2		002	200601200097	20060120009701	695.643872271632
61	02	01	845.69731665	60	2		2		360	200601200098	20060120009801	845.395737818504
61	03	01	845.69731665	60	2		2		360	200601200098	20060120009801	845.395737818504
61	01	01	688.45718869	72	1	72	2		024	200601200099	20060120009901	687.763540991129
61	02	01	688.45718869	48	2		2		012	200601200099	20060120009901	687.763540991129
61	01	01	765.18522113	60	2		2		144	200601200100	20060120010001	765.631157804212
61	02	01	765.18522113	48	2		2		036	200601200100	20060120010001	765.631157804212
61	01	01	639.49359876	40	2		2		192	200601200101	20060120010101	640.970573345142
61	03	01	639.49359876	30	2		2		003	200601200101	20060120010101	640.970573345142
61	01	01	795.0889697	48	2		2		018	200601200102	20060120010201	796.449828668828
61	05	01	795.0889697	48	2		2		132	200601200102	20060120010201	796.449828668828
61	01	01	765.18522113	60	2		2		001	200601200103	20060120010301	765.631157804212
61	02	01	765.18522113	12	2		2		024	200601200103	20060120010301	765.631157804212
61	03	01	724.06252757	50	2		2		018	200601200104	20060120010401	726.09076394725
61	04	01	724.06252757	72	2		2		018	200601200104	20060120010401	726.09076394725
61	01	01	712.58973538	60	2		2		014	200601200105	20060120010501	714.996019872052
61	01	01	765.40685088	48	2		2		001	200601200106	20060120010601	768.174549057293
61	01	01	635.86170294	72	2		2		002	200601200107	20060120010701	637.128403058969
61	02	01	697.03743223	48	2		2		012	200601200108	20060120010801	698.937045261855
61	03	01	697.03743223	16	2		2		000	200601200108	20060120010801	698.937045261855
61	02	01	762.22291733	48	2		2		156	200601200110	20060120011001	762.78945450194
61	01	01	806.63151704	60	2		2		005	200601200111	20060120011101	810.465036241827
61	03	01	806.63151704	48	2		2		000	200601200111	20060120011101	810.465036241827
61	01	01	759.00103633	48	2		2		000	200601200112	20060120011201	760.29421777679
61	02	01	759.00103633	30	2		2		024	200601200112	20060120011201	760.29421777679
61	01	01	809.6317683	15	2		2		024	200601200113	20060120011301	810.416881713895
61	02	01	809.6317683	70	2		2		120	200601200113	20060120011301	810.416881713895
61	01	01	765.18522113	84	2		2		018	200601200115	20060120011501	765.631157804212
61	02	01	765.18522113	84	2		2		018	200601200115	20060120011501	765.631157804212
61	01	01	776.31478554	48	2		2		108	200601200116	20060120011601	777.895617333482
61	02	01	776.31478554	30	2		2		024	200601200116	20060120011601	777.895617333482
61	07	01	776.31478554	48	2		2		004	200601200116	20060120011601	777.895617333482
61	01	01	759.00103633	56	2		2		002	200601200117	20060120011701	760.29421777679
