Reg	Orden	Hogar	Fex_c	P24	P26	P26n	P27	P27a	P27bi	P27bii	Valor28	P29	Valor29	P30	Valor30	P30a	Valor30a	P30b	Valor30b	Valor31	Valor32a	Valor32b	Valor33a	Valor33b	Valor33c	P33a	P33b	P33c	P33d	P33e	Llave_viv	Llave_hog	Fex_c_2011
60	01	01	747.92510355	58	80	8044	2	1	1		425000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200049	20060120004901	746.746375170526
60	01	01	722.14319324	62	24	2424	1	1	2	03	425000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200051	20060120005101	722.377899240471
60	01	01	813.45394111	97	21	2101	1	1	1		650000	1	90000	2		2		2			0	0	0	0	0	1	1	1	1	1	200601200052	20060120005201	817.327099442875
60	02	01	902.89091677	79	18	1810	4													98	0	0	0	0	0	1	2		2		200601200053	20060120005301	905.833949576742
60	03	01	902.89091677	97	63	6310	1	1	2	03	381500	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200053	20060120005301	905.833949576742
60	01	01	719.92301486	54	95	9500	4													80000	0	0	0	0	0	1	2		2		200601200054	20060120005401	720.115880685632
60	04	01	719.92301486	16	74	7494	4													100000	0	0	0	0	0	1	2		2		200601200054	20060120005401	720.115880685632
60	02	01	784.62554686	77	15	1521	4													20000	0	0	0	0	0	1	2		2		200601200055	20060120005501	783.822797761334
60	04	01	784.62554686	95	45	4521	1	2			98	2		2		2		2			0	0	0	0	0	1	2		2		200601200055	20060120005501	783.822797761334
60	07	01	784.62554686	54	95	9500	4													150000	0	0	450000	0	0	1	2		2		200601200055	20060120005501	783.822797761334
60	03	01	1013.4905832	37	64	6412	4													98	0	0	0	0	0	1	2		2		200601200056	20060120005601	1026.89780109964
60	01	02	769.04713629	80	19	1923	1	2			300000	2		2		2		2			0	0	0	0	0	1	2		2		200601200056	20060120005602	1026.89780109964
60	02	01	710.34901796	54	95	9500	4													240000	0	0	0	0	0	2			2		200601200057	20060120005701	711.331926579793
60	06	01	710.34901796	45	55	5530	1	2			120000	2		2		2		2			0	0	0	0	0	2			2		200601200057	20060120005701	711.331926579793
60	03	01	974.84887275	80	19	1924	1	2			150000	2		2		2		2			0	0	0	0	0	1	2		2		200601200058	20060120005801	976.311485437367
60	02	01	516.86387279	41	52	5222	4													400000	0	0	0	0	0	1	2		2		200601200059	20060120005901	515.779083525388
60	04	01	516.86387279	87	50	5020	1	2			98	2		2		2		2			0	0	0	0	0	1	2		2		200601200059	20060120005901	515.779083525388
60	01	01	775.91051818	92	22	2233	4													450000	0	0	0	0	0	1	2		2		200601200060	20060120006001	777.733960412331
60	01	01	616.55743402	77	52	5223	1	2			500000	1	100000	2		2		2			0	0	0	0	0	1	2		2		200601200061	20060120006101	616.004504529027
60	01	01	818.99988665	33	65	6512	1	1	2	12	98	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200062	20060120006201	821.13891629667
60	02	01	818.99988665	32	74	7491	1	1	2	12	98	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200062	20060120006201	821.13891629667
60	01	01	754.83946854	41	52	5211	4													380000	0	0	0	0	0	1	1	5	2		200601200063	20060120006301	755.311816004083
60	02	01	754.83946854	45	52	5211	6														0	0	0	0	0	1	1	5	2		200601200063	20060120006301	755.311816004083
60	01	01	711.59218537	95	45	4552	4													800000	0	0	0	0	0	2			2		200601200064	20060120006401	712.666790564835
60	02	01	711.59218537	45	52	5269	4													400000	0	0	0	0	0	2			2		200601200064	20060120006401	712.666790564835
60	01	01	659.35963696	97	36	3699	1	2			426000	2		2		2		2			0	0	0	0	0	1	2		2		200601200065	20060120006501	660.066742643082
60	01	01	563.7357382	53	92	9242	4													200000	0	0	0	0	0	1	1	5	2		200601200066	20060120006601	561.690015702602
60	01	01	742.2718542	99	50	5020	4													200000	0	0	0	0	0	2			2		200601200067	20060120006701	743.271299483587
60	02	01	742.2718542	54	95	9500	4													400000	0	0	0	0	0	1	1	4	1	3	200601200067	20060120006701	743.271299483587
60	01	01	718.77392019	45	52	5269	4													200000	0	0	0	0	0	1	2		2		200601200069	20060120006901	720.332959899474
60	02	01	822.63178246	57	93	9302	1	1	1		98	2		2		2		2			0	0	0	0	0	1	2		2		200601200070	20060120007001	824.981086582844
60	03	01	822.63178246	39	64	6421	1	1	2	24	200000	2		2		2		2			0	0	0	0	0	1	1	1	2		200601200070	20060120007001	824.981086582844
60	01	01	771.59103568	45	52	5249	1	2			425000	2		2		2		2			0	0	0	0	0	1	1	5	2		200601200071	20060120007101	773.511489084715
60	02	01	771.59103568	42	52	5231	1	1	2	12	98	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200071	20060120007101	773.511489084715
60	01	01	703.22161703	54	95	9500	3	2			200000	1	100000	1	100000	2		2			0	0	0	0	0	1	2		2		200601200072	20060120007201	704.273985289276
60	03	01	612.15003073	99	74	7421	1	2			426000	2		2		2		2			0	0	0	0	0	1	1	1	2		200601200073	20060120007301	613.805951896779
60	05	01	612.15003073	45	51	5139	1	1	2	12	426000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200073	20060120007301	613.805951896779
60	06	01	612.15003073	39	51	5139	1	1	2	12	426000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200073	20060120007301	613.805951896779
60	01	01	528.04398685	95	45	4552	1	1	2	04	440000	2		2		2		2			0	0	0	0	0	1	1	1	2		200601200074	20060120007401	527.309343766109
60	01	01	694.86300324	54	95	9500	3	1	1		310000	1	100000	2		2		2			0	0	0	0	0	1	1	2	2		200601200075	20060120007501	695.643872271632
60	01	01	759.22266608	81	36	3611	1	1	1		426000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200076	20060120007601	762.837609029871
60	02	01	759.22266608	57	93	9302	4													200000	0	0	0	0	0	1	1	5	2		200601200076	20060120007601	762.837609029871
60	03	01	759.22266608	99	45	4521	1	2			426000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200076	20060120007601	762.837609029871
60	01	01	588.45285198	41	52	5225	4													98	0	0	0	0	0	1	2		2		200601200079	20060120007901	589.500975847013
60	03	01	523.5802484	99	90	9000	1	1	2	03	381500	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200080	20060120008001	520.332866533478
60	01	01	745.47135019	58	63	6331	1	1	1		426000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200081	20060120008101	744.589781421308
60	02	01	745.47135019	54	85	8532	4													60000	0	0	0	0	0	1	1	5	2		200601200081	20060120008101	744.589781421308
60	01	01	717.77637017	45	20	2030	1	1	1		480000	1	70000	2		2		2			0	0	0	0	0	1	1	2	1	2	200601200082	20060120008201	718.003730592257
60	02	01	717.77637017	54	85	8532	4													50000	0	0	0	0	0	1	1	5	2		200601200082	20060120008201	718.003730592257
60	01	01	784.59104985	55	70	7020	1	1	1		98	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200083	20060120008301	788.075693953664
60	02	01	784.59104985	54	95	9500	3	2			98	2		2		2		2			0	0	0	0	0	1	1	5	2		200601200083	20060120008301	788.075693953664
60	03	01	784.59104985	13	80	8043	4													98	0	0	0	0	0	1	1	4	1	3	200601200083	20060120008301	788.075693953664
60	01	01	717.77637017	99	45	4521	1	2			380000	2		2		2		2			0	0	0	0	0	1	1	1	2		200601200084	20060120008401	718.003730592257
60	01	01	818.99988665	93	45	4552	4													380500	0	0	0	0	0	1	2		2		200601200085	20060120008501	821.13891629667
60	01	01	717.77637017	95	45	4552	4													98	0	0	0	0	0	1	2		2		200601200086	20060120008601	718.003730592257
60	01	01	671.36506923	32	52	5234	1	1	1		600000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200087	20060120008701	672.705532687518
60	01	01	812.81570184	95	45	4552	4													380000	0	0	0	0	0	1	2		2		200601200088	20060120008801	815.801976269249
60	02	01	765.18522113	54	55	5511	1	1	2	12	436000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200089	20060120008901	765.631157804212
60	01	01	736.0876694	19	75	7513	1	1	2	06	900000	2		2		2		2			0	0	0	0	0	1	1	4	1	3	200601200090	20060120009001	737.934359456166
60	02	01	736.0876694	45	55	5522	1	1	1		426000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200090	20060120009001	737.934359456166
60	01	01	784.59104985	99	45	4521	1	1	2	03	426000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200091	20060120009101	788.075693953664
60	03	01	784.59104985	58	92	9231	1	1	2	03	460000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200091	20060120009101	788.075693953664
60	01	01	830.12945105	56	93	9301	4													80000	0	0	0	0	0	1	1	5	2		200601200092	20060120009201	833.40337582594
60	02	01	830.12945105	98	60	6031	4													700000	0	0	0	0	0	1	2		2		200601200092	20060120009201	833.40337582594
60	03	01	830.12945105	51	55	5530	5													800000	0	0	0	0	0	2			2		200601200092	20060120009201	833.40337582594
60	04	01	830.12945105	53	55	5522	1	2			426000	1	60000	2		2		2			0	0	0	0	0	1	2		2		200601200092	20060120009201	833.40337582594
60	06	01	830.12945105	53	55	5530	1	2			400000	2		2		2		2			0	0	0	0	0	2			2		200601200092	20060120009201	833.40337582594
60	02	01	809.6317683	98	60	6031	4													700000	0	0	0	0	0	1	1	4	2		200601200093	20060120009301	810.416881713895
60	01	01	569.48455506	93	36	3611	1	2			500000	2		2		2		2			0	0	0	0	0	1	2		2		200601200094	20060120009401	564.099452898866
60	08	01	569.48455506	54	95	9500	3	2			260000	1	110000	1	100000	2		2			0	0	0	0	0	1	2		2		200601200094	20060120009401	564.099452898866
60	01	01	682.27300389	97	63	6310	4													130000	0	0	0	0	0	1	2		2		200601200095	20060120009501	682.426600963707
60	01	01	818.99988665	45	52	5269	4													300000	0	0	0	0	0	2			2		200601200096	20060120009601	821.13891629667
60	01	01	694.86300324	37	52	5237	1	2			98	2		2		2		2			0	0	0	0	0	1	2		2		200601200097	20060120009701	695.643872271632
60	03	01	694.86300324	53	55	5529	1	2			160000	2		2		2		2			0	0	0	0	0	1	2		2		200601200097	20060120009701	695.643872271632
60	02	01	845.69731665	45	52	5269	4													98	0	0	0	0	0	1	2		2		200601200098	20060120009801	845.395737818504
60	03	01	845.69731665	45	52	5269	4													98	0	0	0	0	0	1	2		2		200601200098	20060120009801	845.395737818504
60	01	01	688.45718869	58	70	7020	1	1	1		800000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200099	20060120009901	687.763540991129
60	02	01	688.45718869	55	25	2529	1	1	2	12	425000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200099	20060120009901	687.763540991129
60	01	01	765.18522113	72	27	2732	1	1	1		534000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200100	20060120010001	765.631157804212
60	02	01	765.18522113	57	93	9302	1	2			250000	2		2		2		2			0	0	0	0	0	1	1	5	2		200601200100	20060120010001	765.631157804212
60	01	01	639.49359876	59	85	8532	4													190000	0	0	0	0	0	1	2		2		200601200101	20060120010101	640.970573345142
60	03	01	639.49359876	45	52	5211	1	2			180000	2		2		2		2			0	0	0	0	0	1	2		2		200601200101	20060120010101	640.970573345142
60	01	01	795.0889697	70	18	1810	1	1	2	03	425000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200102	20060120010201	796.449828668828
60	05	01	795.0889697	99	74	7421	1	1	2	03	98	2		2		2		2			0	0	0	0	0	1	1	1	1	1	200601200102	20060120010201	796.449828668828
60	01	01	765.18522113	95	45	4552	4													380000	0	0	0	0	0	1	2		2		200601200103	20060120010301	765.631157804212
