Reg	Orden	Hogar	Fex_c	P37	P37a	Valor38	P39	P40	P41	P42	P43	P44	P45	P46a	P46b	P46c	P46d	P46e	P46f	P46g	P46h	P46i	P47	P48	Llave_viv	Llave_hog	Fex_c_2011
62	01	01	718.77392019	2				2					2												200601200213	20060120021301	720.332959899474
62	01	01	634.45413811	2				2					2												200601200214	20060120021401	633.452240190727
62	01	01	574.86530261	2				2					2												200601200215	20060120021501	573.954475231872
62	01	01	678.1114361	2				2					2												200601200216	20060120021601	737.306601964687
62	01	02	765.18522113	2				2					2												200601200216	20060120021602	737.306601964687
62	02	02	765.18522113	2				2					1		1								1	1	200601200216	20060120021602	737.306601964687
62	01	01	818.99988665	2				2					2												200601200217	20060120021701	821.13891629667
62	02	01	818.99988665	2				2					2												200601200217	20060120021701	821.13891629667
62	01	01	695.27301805	2				2					2												200601200218	20060120021801	696.990805832656
62	05	01	695.27301805	2				1	24	1	1	1		1	1								2	1	200601200218	20060120021801	696.990805832656
62	02	01	729.9034846	2				2					1		1						1		1	1	200601200219	20060120021901	732.597419428744
62	03	01	729.9034846	2				1	24	1	1	2													200601200219	20060120021901	732.597419428744
62	01	01	736.0876694	2				2					2												200601200220	20060120022001	737.934359456166
62	02	01	736.0876694	2				1	48	1	1	2													200601200220	20060120022001	737.934359456166
62	04	01	736.0876694	2				1	16	1	1	1			1								1	1	200601200220	20060120022001	737.934359456166
62	01	01	924.51446048	2				2					2												200601200221	20060120022101	927.702676741644
62	01	01	658.77506987	2				1	24	1	1	2													200601200223	20060120022301	659.488261379594
62	01	01	671.36506923	2				2					2												200601200224	20060120022401	672.705532687518
62	01	01	658.77506987	2				2					2												200601200225	20060120022501	659.488261379594
62	01	01	688.45718869	2				2					2												200601200227	20060120022701	687.763540991129
62	01	01	674.86174545	2				2					2												200601200228	20060120022801	680.821017665816
62	03	01	674.86174545	2				2					2												200601200228	20060120022801	680.821017665816
62	04	01	674.86174545	2				2					2												200601200228	20060120022801	680.821017665816
62	01	01	717.77637017	2				2					2												200601200229	20060120022901	718.003730592257
62	02	01	717.77637017	2				2					2												200601200229	20060120022901	718.003730592257
62	01	01	729.27184004	2				2					2												200601200230	20060120023001	728.707094614638
62	02	01	729.27184004	2				2					2												200601200230	20060120023001	728.707094614638
62	01	01	729.27184004	2				2					2												200601200231	20060120023101	728.707094614638
62	02	01	729.27184004	2				2					2												200601200231	20060120023101	728.707094614638
