Reg	Orden	Hogar	Fex_c	P49	P50	P51	P52	P52a	P53	P54	P55	P56	P57	P56n	P57a	Valor58a	Valor58b	Valor58c	Valor59a	Valor59b	Valor59c	Llave_viv	Llave_hog	Fex_c_2011
70	02	03	1146.5275765	104	50	54	3	01	2	104	54	95	3	9500	8	0	0	0	0	0	0	200601300842	20060130084203	1314.68909954081
70	02	01	1486.0232771	52	20	54	3	01	1							0	0	0	0	0	0	200601300843	20060130084301	1479.8318987112
70	02	01	1075.3634815	998	40	55	1	01	2	104	55	85	5	8512	8	0	0	0	0	0	0	200601300844	20060130084401	1052.26571860077
70	01	01	1225.6046994	26	48	18	5	01	2	26	18	75	5	7513	8	0	0	0	0	0	0	200601300845	20060130084501	1216.74349822816
70	03	01	1228.197855	52	40	45	1	01	2	998	61	01	5	0140	3	0	0	0	0	0	0	200601300848	20060130084801	1254.64191747861
70	04	01	3073.9559039	30	48	61	5	01	2	30	62	01	1	0140	8	0	0	0	0	0	0	200601300850	20060130085001	3133.39295956087
70	05	01	2442.9838645	26	40	45	1	01	1							0	0	0	0	0	0	200601300853	20060130085301	2431.92380682801
70	05	01	2994.8857624	26	20	56	5	01	2	26	56	93	5	9301	3	0	0	0	0	0	0	200601300854	20060130085401	3031.52934885285
70	06	01	2994.8857624	4	40	77	1	01	2	156	77	15	1	1551	3	0	0	0	0	0	0	200601300854	20060130085401	3031.52934885285
70	02	01	2064.1275141	4	40	45	1	01	2	26	98	60	1	6021	4	0	0	0	0	0	0	200601300856	20060130085601	2084.06021106965
70	01	01	2242.9094556	13	50	62	1	01	2	13	54	95	3	9500	3	0	0	0	1200000	0	0	200601300862	20060130086201	2225.82761166689
70	02	02	3035.8988604	8	40	54	3	02	2	998	54	95	3	9500	3	0	0	0	0	0	0	200601300866	20060130086602	2581.0373138217
70	01	01	2610.042909	36	40	61	5	01	2	17	62	01	1	0111	8	0	0	0	0	0	0	200601300869	20060130086901	2628.06899025382
70	03	01	1345.1025188	4	48	54	3	01	2	6	54	95	3	9500	7	0	0	0	0	0	0	200601300871	20060130087101	1347.27764690301
70	03	01	2557.6000086	52	40	45	1	01	2	104	60	01	1	0115	6	0	0	0	0	0	0	200601300873	20060130087301	2542.17055252518
70	04	01	2557.6000086	52	40	32	1	01	1							0	0	0	0	0	0	200601300873	20060130087301	2542.17055252518
70	03	01	2645.324427	13	40	61	5	06	2	4	61	01	5	0140	8	0	0	0	0	0	0	200601300877	20060130087701	2676.19753102154
