Reg	Orden	Hogar	Fex_c	P60	P61	P61a	P62	P63	P64	P64a	Valor65a	Valor65b	Valor65c	Valor66a	Valor66b	Valor66c	Llave_viv	Llave_hog	Fex_c_2011
80	02	01	3568.3555561	2				2			0	0	0	0	0	0	200601300099	20060130009901	3588.98865982345
80	02	01	3446.1663566	2				2			0	0	0	0	0	0	200601300100	20060130010001	3412.39151629053
80	02	01	3332.1514675	2				2			0	0	0	0	0	0	200601300102	20060130010201	3355.59173032886
80	02	01	3320.3682599	2				2			0	0	0	0	0	0	200601300104	20060130010401	3327.41705820835
80	03	01	3320.3682599	2				2			0	0	0	0	0	0	200601300104	20060130010401	3327.41705820835
80	02	01	2382.2253106	2				2			0	0	0	0	0	0	200601300105	20060130010501	2400.06852912914
80	03	01	2382.2253106	2				2			0	0	0	0	0	0	200601300105	20060130010501	2400.06852912914
80	02	01	2911.4023253	2				2			0	0	0	0	0	0	200601300107	20060130010701	2928.10878674694
80	01	01	2526.2008848								0	0	0	98	0	0	200601300109	20060130010901	2547.68111565697
80	02	01	2526.2008848								0	0	0	0	0	0	200601300109	20060130010901	2547.68111565697
80	04	01	2526.2008848	2				2			0	0	0	0	0	0	200601300109	20060130010901	2547.68111565697
80	05	01	2526.2008848	2				2			0	0	0	0	0	0	200601300109	20060130010901	2547.68111565697
80	02	01	2819.3620957	2				2			0	0	0	0	0	0	200601300110	20060130011001	2848.51897242484
80	02	01	2661.444904	2				2			0	0	0	0	0	0	200601300112	20060130011201	2655.70194230532
80	03	01	2661.444904	1	3	6	2				0	0	0	0	0	0	200601300112	20060130011201	2655.70194230532
80	05	01	2661.444904	1	1	2	2				0	0	0	0	0	0	200601300112	20060130011201	2655.70194230532
80	02	01	3014.7804443	2				2			0	0	0	0	0	0	200601300114	20060130011401	3029.46528365564
80	03	01	3014.7804443								0	0	0	0	0	0	200601300114	20060130011401	3029.46528365564
80	04	01	3014.7804443	2				2			0	0	0	0	0	0	200601300114	20060130011401	3029.46528365564
