Reg	Orden	Hogar	Fex_c	P49	P50	P51	P52	P52a	P53	P54	P55	P56	P57	P56n	P57a	Valor58a	Valor58b	Valor58c	Valor59a	Valor59b	Valor59c	Llave_viv	Llave_hog	Fex_c_2011
70	01	01	838.71028105	52	48	13	1	01	2	52	13	80	1	8043	3	0	0	0	0	2500000	0	200601200274	20060120027401	839.426148347083
70	03	01	838.71028105	52	48	13	1	01	2	52	13	80	2	8043	8	0	900000	0	0	0	0	200601200274	20060120027401	839.426148347083
70	02	01	705.18637082	52	48	45	1	01	2	998	45	55	1	5522	3	0	0	0	0	0	0	200601200279	20060120027901	704.786459284332
70	03	01	761.65529791	104	48	45	1	12	2	998	97	52	1	5222	6	0	0	0	0	0	0	200601200283	20060120028301	764.53908084561
70	04	01	761.65529791	6	48	99	1	14	2	6	99	45	1	4552	8	100000	0	0	0	0	0	200601200283	20060120028301	764.53908084561
70	02	01	809.6317683	78	48	84	1	05	2	998	83	28	1	2899	4	0	0	0	0	0	0	200601200284	20060120028401	810.416881713895
70	06	01	503.86124549	52	48	54	1	03	2	52	54	55	1	5511	8	0	0	0	0	0	0	200601200286	20060120028601	504.772165297722
70	02	01	622.86168877	52	48	45	1	01	2	52	45	52	1	5233	8	0	0	0	0	0	0	200601200292	20060120029201	622.56419819002
70	04	01	688.67881844	4	48	53	1	14	2	8	93	45	4	4552	8	0	0	0	0	0	0	200601200294	20060120029401	690.30693224421
70	04	01	1056.5745341	4	48	45	1	02	2	4	45	52	1	5219	8	381500	0	0	0	0	0	200601200295	20060120029501	1051.10227170201
70	02	01	1474.7411679	52	48	45	1	01	2	52	45	15	1	1551	8	0	0	0	98	0	0	200601200296	20060120029601	1478.5036180993
70	01	01	1282.0966755	52	48	98	1	03	2	65	99	90	1	9000	4	0	0	0	0	0	0	200601200298	20060120029801	1280.27222755835
70	03	01	1282.0966755	4	48	45	1	01	2	4	45	52	1	5219	8	425000	0	0	0	0	0	200601200298	20060120029801	1280.27222755835
70	01	01	765.90351604	52	48	54	4	01	2	52	54	95	4	9500	7	0	0	0	0	0	0	200601200306	20060120030601	594.40866469371
70	03	01	765.90351604	34	48	45	1	01	2	4	45	52	1	5219	8	0	0	0	0	0	0	200601200306	20060120030601	594.40866469371
70	01	02	570.87046222	52	48	80	1	01	2	2	80	19	1	1921	8	400000	0	0	1000000	0	0	200601200306	20060120030602	594.40866469371
70	02	01	677.3317221	13	50	53	1	01	2	8	53	55	1	5521	7	0	0	0	0	0	0	200601200307	20060120030701	679.808547521522
70	04	01	677.3317221	104	48	79	1	01	2	104	79	18	1	1810	8	0	0	0	0	0	0	200601200307	20060120030701	679.808547521522
70	01	01	645.09978254	4	48	79	1	07	2	4	79	18	1	1810	8	90000	0	0	0	0	0	200601200309	20060120030901	643.17112004289
70	01	01	751.12824719	4	48	37	1	01	2	4	45	52	4	5269	8	98	0	0	0	0	0	200601200310	20060120031001	752.262557448617
70	01	01	726.7078701	2	48	98	1	05	2	2	98	60	1	6021	0	381500	0	0	0	0	0	200601200315	20060120031501	725.975683328596
70	01	03	583.00462039	13	48	53	1	14	2	2	53	55	1	5530	6	450000	0	0	0	0	0	200601200316	20060120031603	795.884676642036
70	04	01	452.40348698	1	48	55	1	02	2	65	55	80	1	8041	0	0	0	0	0	0	0	200601200318	20060120031801	449.54760437219
70	02	01	605.08476197	26	48	97	1	09	2	34	97	24	1	2424	6	0	0	0	0	0	0	200601200319	20060120031901	607.907351002136
