Reg	Orden	Hogar	Fex_c	P34	P35a	P35b	P36_1	P36_2	P36a	Llave_viv	Llave_hog	Fex_c_2011
61	01	01	1766.2461651	24	1	24	2		001	200601300144	20060130014401	1746.39243268652
61	02	01	1766.2461651	32	2		2		360	200601300144	20060130014401	1746.39243268652
61	03	01	1766.2461651	32	2		2		360	200601300144	20060130014401	1746.39243268652
61	04	01	1766.2461651	8	1	8	2		001	200601300144	20060130014401	1746.39243268652
61	01	01	1762.7823881	25	2		1	12	001	200601300145	20060130014501	1751.88380500621
61	02	01	1762.7823881	25	2		1	12	001	200601300145	20060130014501	1751.88380500621
61	01	01	1914.3514727	16	1	8	2		340	200601300146	20060130014601	1911.80639880262
61	01	01	1789.8358261	48	2		2		170	200601300147	20060130014701	1786.83024893436
61	02	01	1789.8358261	30	2		2		144	200601300147	20060130014701	1786.83024893436
61	03	01	1789.8358261	36	2		2		036	200601300147	20060130014701	1786.83024893436
61	04	01	1789.8358261	36	2		2		024	200601300147	20060130014701	1786.83024893436
61	01	01	2184.088586	48	2		2		011	200601300148	20060130014801	2188.66639057032
61	02	01	2184.088586	14	1	14	2		011	200601300148	20060130014801	2188.66639057032
61	01	01	2025.9323574	25	2		2		999	200601300149	20060130014901	2021.87586907502
61	03	01	2025.9323574	25	2		2		999	200601300149	20060130014901	2021.87586907502
61	04	01	2025.9323574	25	2		2		999	200601300149	20060130014901	2021.87586907502
61	03	01	1754.4736545	45	2		2		024	200601300150	20060130015001	1761.11797535762
61	01	01	1711.1176427	40	2		2		250	200601300151	20060130015101	1723.15462476031
61	01	01	2117.6390073	56	2		2		420	200601300152	20060130015201	2104.64288720161
61	03	01	2117.6390073	8	2		2		012	200601300152	20060130015201	2104.64288720161
61	01	01	1680.8645897	9	1	9	2		060	200601300153	20060130015301	1684.19225041863
61	01	01	1975.0257757	60	2		2		240	200601300154	20060130015401	1973.82544414574
61	02	01	1970.4439716	48	2		2		118	200601300155	20060130015501	1994.31783264338
61	01	01	2056.4453499	16	2		2		240	200601300156	20060130015601	2066.04657299925
61	01	01	1968.8194088	30	2		2		240	200601300157	20060130015701	1965.51327382779
61	01	01	1726.9343352	40	2		2		006	200601300158	20060130015801	1729.21493486495
61	03	01	1726.9343352	26	2		2		060	200601300158	20060130015801	1729.21493486495
61	04	01	1726.9343352	26	1	8	2		022	200601300158	20060130015801	1729.21493486495
61	01	01	2035.561142	60	2		2		120	200601300159	20060130015901	2033.73422370522
61	01	01	1942.2560953	60	2		2		480	200601300160	20060130016001	1943.17284958286
61	03	01	1942.2560953	36	2		2		012	200601300160	20060130016001	1943.17284958286
61	01	01	1895.2763137	60	2		2		360	200601300161	20060130016101	1943.58641712698
61	03	01	1895.2763137	38	2		2		124	200601300161	20060130016101	1943.58641712698
61	01	01	1908.1205137	24	2		2		300	200601300162	20060130016201	1920.35007952104
61	02	01	1908.1205137	7	2		2		240	200601300162	20060130016201	1920.35007952104
61	03	01	1908.1205137	9	1	9	2		120	200601300162	20060130016201	1920.35007952104
61	03	01	1847.116961	24	1	8	2		300	200601300164	20060130016401	1846.76039038685
61	04	01	1847.116961	24	2		2		120	200601300164	20060130016401	1846.76039038685
61	05	01	1847.116961	16	1	8	2		001	200601300164	20060130016401	1846.76039038685
61	01	01	1915.6927819	16	1	8	2		240	200601300165	20060130016501	1920.83242533792
61	02	01	1915.6927819	40	2		2		144	200601300165	20060130016501	1920.83242533792
61	01	01	2448.3252731	40	2		2		024	200601300166	20060130016601	2452.90760902534
61	02	01	2448.3252731	24	2		2		024	200601300166	20060130016601	2452.90760902534
61	03	01	2448.3252731	16	2		2		002	200601300166	20060130016601	2452.90760902534
61	04	01	2448.3252731	16	1	8	2		012	200601300166	20060130016601	2452.90760902534
61	01	01	2676.025102	24	2		1	8	180	200601300167	20060130016701	2656.03720404509
61	02	01	2676.025102	14	2		2		002	200601300167	20060130016701	2656.03720404509
61	02	01	2489.0095407	14	2		2		300	200601300168	20060130016801	2521.04817527823
61	01	01	2832.6517929	48	2		2		072	200601300169	20060130016901	2820.22215624569
61	02	01	2832.6517929	36	2		2		002	200601300169	20060130016901	2820.22215624569
61	01	01	2654.7554427	40	2		2		192	200601300170	20060130017001	2668.35114786103
61	02	01	2654.7554427	40	2		2		072	200601300170	20060130017001	2668.35114786103
61	01	01	3434.5456573	40	2		2		084	200601300171	20060130017101	3454.40503948511
61	01	01	3394.5601602	48	2		2		009	200601300172	20060130017201	3359.74155157338
61	01	01	2791.0580187	60	2		2		036	200601300173	20060130017301	2765.54865128649
61	02	01	2791.0580187	48	2		2		006	200601300173	20060130017301	2765.54865128649
61	01	01	3114.9094323	44	2		2		420	200601300174	20060130017401	3101.6737416033
61	03	01	3114.9094323	44	2		2		023	200601300174	20060130017401	3101.6737416033
61	06	01	3114.9094323	44	2		2		098	200601300174	20060130017401	3101.6737416033
61	01	01	3747.8527211	48	2		1	8	600	200601300177	20060130017701	3857.24151775343
61	02	01	3747.8527211	21	2		2		336	200601300177	20060130017701	3857.24151775343
61	05	01	3747.8527211	48	2		2		001	200601300177	20060130017701	3857.24151775343
61	02	01	3324.7619324	24	1	8	2		001	200601300178	20060130017801	3366.14642144123
61	03	01	2140.6387609	48	2		2		240	200601300179	20060130017901	2165.59036015768
61	01	01	3181.7601847	48	2		2		008	200601300180	20060130018001	3179.82645448198
61	01	01	3812.2542566	60	2		2		084	200601300182	20060130018201	3805.38620207091
61	01	01	3299.9001514	84	2		2		001	200601300183	20060130018301	3315.89446465716
61	01	01	3469.9086476	44	1	16	2		120	200601300184	20060130018401	3469.90783092778
61	02	01	3469.9086476	5	2		2		180	200601300184	20060130018401	3469.90783092778
61	01	01	2795.8656146	56	2		2		324	200601300185	20060130018501	2789.83259507136
61	01	01	3192.5647145	28	2		2		360	200601300186	20060130018601	3230.06819729618
61	03	01	3192.5647145	24	1	8	2		010	200601300186	20060130018601	3230.06819729618
61	01	01	2707.8674583	48	2		2		072	200601300187	20060130018701	2713.22830911854
61	01	01	2982.5965371	36	2		2		001	200601300188	20060130018801	3016.40278363686
61	02	01	2543.9847939	48	2		2		006	200601300189	20060130018901	2555.54511320091
61	01	01	1565.1080273	48	2		2		018	200601300190	20060130019001	1563.98865382583
61	03	01	1565.1080273	48	2		2		031	200601300190	20060130019001	1563.98865382583
61	01	01	1131.0499126	50	2		2		009	200601300191	20060130019101	1138.78044070158
61	01	01	1377.0246976	50	2		2		004	200601300192	20060130019201	1377.32507107594
61	02	01	1377.0246976	20	2		2		012	200601300192	20060130019201	1377.32507107594
61	01	01	1454.9745678	60	2		2		017	200601300193	20060130019301	1455.7504579545
61	02	01	1454.9745678	15	2		2		017	200601300193	20060130019301	1455.7504579545
61	01	01	1400.7917242	50	2		2		001	200601300194	20060130019401	1410.96747472798
61	01	01	1460.352696	50	2		2		012	200601300195	20060130019501	1463.91203004575
61	02	01	1460.352696	48	2		2		012	200601300195	20060130019501	1463.91203004575
61	01	01	1670.5913751	30	2		2		120	200601300196	20060130019601	1658.67722686436
61	02	01	1670.5913751	16	2		2		001	200601300196	20060130019601	1658.67722686436
61	01	01	1535.6915496	60	2		2		024	200601300197	20060130019701	1534.82235079617
61	01	01	881.40091916	60	2		2		120	200601300198	20060130019801	888.612148497266
61	02	01	881.40091916	70	2		2		000	200601300198	20060130019801	888.612148497266
61	03	01	1068.004412	20	2		2		005	200601300199	20060130019901	1083.27319286916
61	01	01	979.89294324	45	2		2		001	200601300201	20060130020101	980.415487967996
61	02	01	979.89294324	14	2		2		003	200601300201	20060130020101	980.415487967996
61	01	01	883.28571364	50	2		2		001	200601300202	20060130020201	889.819056076506
61	01	01	1180.1012249	50	2		2		000	200601300205	20060130020501	1174.68028234483
61	03	01	1180.1012249	50	2		2		048	200601300205	20060130020501	1174.68028234483
61	01	01	979.89294324	50	2		2		006	200601300207	20060130020701	980.415487967996
61	01	01	1219.0898297	50	2		2		005	200601300208	20060130020801	1209.62101160588
61	03	01	1219.0898297	50	2		2		005	200601300208	20060130020801	1209.62101160588
61	04	01	1219.0898297	50	2		2		005	200601300208	20060130020801	1209.62101160588
61	05	01	1219.0898297	50	2		2		005	200601300208	20060130020801	1209.62101160588
61	01	01	908.2181802	60	2		2		036	200601300209	20060130020901	912.29986361096
61	01	01	1099.9335644	54	2		2		004	200601300210	20060130021001	1096.15141179748
61	01	01	1070.8781453	50	2		2		002	200601300211	20060130021101	1062.21900881967
61	03	01	1070.8781453	50	2		2		001	200601300211	20060130021101	1062.21900881967
61	04	01	1070.8781453	50	2		2		001	200601300211	20060130021101	1062.21900881967
61	01	01	1153.7353133	48	2		2		096	200601300212	20060130021201	1163.8487389528
61	01	01	873.0343547	70	2		2		036	200601300213	20060130021301	874.344580343137
61	02	01	920.52496735	50	2		2		002	200601300214	20060130021401	946.530218115237
61	03	01	920.52496735	60	2		2		004	200601300214	20060130021401	946.530218115237
61	01	01	975.76999071	60	2		2		096	200601300216	20060130021601	968.963892524645
61	01	01	1034.2540315	60	2		2		048	200601300218	20060130021801	1033.66864545891
61	02	01	1034.2540315	20	2		2		024	200601300218	20060130021801	1033.66864545891
