Reg	Orden	Hogar	Fex_c	P37	Valor38	P39	P40	P41	P42	P43	P44	P45	P46a	P46b	P46c	P46d	P46e	P46f	P46g	P46h	P46i	P46j	P47	P48	Llave_viv	Llave_hog	Fex_c_2011
62	04	01	2819.9216143	2			2					2													200601300065	20060130006501	2812.53869220701
62	06	01	2819.9216143	2			2					2													200601300065	20060130006501	2812.53869220701
62	01	01	3624.3726708	2			2					2													200601300066	20060130006601	3587.62392689013
62	04	01	3624.3726708	2			2					2													200601300066	20060130006601	3587.62392689013
62	01	01	2479.0731085	2			2					2													200601300067	20060130006701	2451.74061118502
62	06	01	2479.0731085	2			2					2													200601300067	20060130006701	2451.74061118502
62	07	01	2479.0731085	2			2					2													200601300067	20060130006701	2451.74061118502
62	01	01	3262.6163001	2			2					2													200601300068	20060130006801	3243.41912073428
62	03	01	3262.6163001	2			2					2													200601300068	20060130006801	3243.41912073428
62	04	01	3262.6163001	2			2					2													200601300068	20060130006801	3243.41912073428
62	05	01	3262.6163001	2			2					1		1									2	1	200601300068	20060130006801	3243.41912073428
62	06	01	3262.6163001	2			1	24	1	1	1			1									1	1	200601300068	20060130006801	3243.41912073428
62	07	01	3262.6163001	2			1	26	1	1	1		1	1									1	1	200601300068	20060130006801	3243.41912073428
62	01	01	3213.2235352	2			2					2													200601300069	20060130006901	3202.13546986284
62	03	01	3213.2235352	2			2					2													200601300069	20060130006901	3202.13546986284
62	04	01	3213.2235352	2			2					2													200601300069	20060130006901	3202.13546986284
62	05	01	3213.2235352	2			2					1	1										2	1	200601300069	20060130006901	3202.13546986284
62	06	01	3213.2235352	2			2					2													200601300069	20060130006901	3202.13546986284
62	01	01	2887.5444549	2			2					2													200601300070	20060130007001	2891.87800116826
62	02	01	2887.5444549	2			2					1		1					1				2	1	200601300070	20060130007001	2891.87800116826
62	01	01	3357.3470266	2			2					2													200601300071	20060130007101	3368.2418769198
62	01	01	3420.7754569	2			2					2													200601300072	20060130007201	3418.83930375241
62	03	01	3420.7754569	2			2					2													200601300072	20060130007201	3418.83930375241
62	04	01	3420.7754569	2			2					1		1					1				2	1	200601300072	20060130007201	3418.83930375241
62	01	01	3050.0173891	2			2					2													200601300073	20060130007301	3116.51210101301
62	02	01	3050.0173891	2			2					2													200601300073	20060130007301	3116.51210101301
62	01	01	3420.7754569	2			2					2													200601300074	20060130007401	3418.83930375241
62	01	01	3189.5286248	1	250000	0	2					2													200601300075	20060130007501	3210.28809712405
62	03	01	3189.5286248	2			2					1		1									1	1	200601300075	20060130007501	3210.28809712405
62	01	01	3889.1726348	1	98	0	2					2													200601300076	20060130007601	3891.24660286214
62	01	01	4247.542238	2			2					2													200601300077	20060130007701	4279.64144545053
62	03	01	4247.542238	2			2					2													200601300077	20060130007701	4279.64144545053
62	04	01	4247.542238	2			2					2													200601300077	20060130007701	4279.64144545053
62	01	01	4091.0832903	2			2					2													200601300078	20060130007801	4074.40117390981
62	01	01	3872.8087307	2			2					2													200601300079	20060130007901	3845.79548299187
62	01	01	3476.9125312	2			2					2													200601300080	20060130008001	3474.82449801059
62	02	01	3476.9125312	2			2					2													200601300080	20060130008001	3474.82449801059
62	03	01	3476.9125312	2			2					2													200601300080	20060130008001	3474.82449801059
62	04	01	3476.9125312	2			2					2													200601300080	20060130008001	3474.82449801059
62	05	01	3476.9125312	2			2					2													200601300080	20060130008001	3474.82449801059
62	07	01	3476.9125312	2			2					2													200601300080	20060130008001	3474.82449801059
62	01	01	2914.1746346	2			2					2													200601300081	20060130008101	2902.2961732187
62	02	01	2914.1746346	2			2					2													200601300081	20060130008101	2902.2961732187
62	03	01	2914.1746346	2			2					2													200601300081	20060130008101	2902.2961732187
62	01	01	2317.1609155	2			2					1	1	1									2	1	200601300082	20060130008201	2295.63023162636
62	01	01	2630.7193846	2			2					2													200601300083	20060130008301	2651.97300339869
62	01	01	1893.7190164	2			2					2													200601300084	20060130008401	1904.62627475963
62	01	01	2261.7287769	2			2					2													200601300085	20060130008501	2251.39374031209
62	03	01	2261.7287769	2			2					2													200601300085	20060130008501	2251.39374031209
62	01	01	1904.640679	2			2					2													200601300086	20060130008601	1959.91043122608
62	01	01	2092.942956	2			2					2													200601300087	20060130008701	2094.11114277378
62	01	01	4466.7433436	2			2					1		1									2	1	200601300088	20060130008801	4456.07224627431
62	01	01	4883.102621	2			2					2													200601300089	20060130008901	4892.41026618216
62	03	01	4883.102621	2			2					2													200601300089	20060130008901	4892.41026618216
62	01	01	6480.2427046	2			2					2													200601300090	20060130009001	6478.69489089288
62	03	01	6480.2427046	1	120000	24	2					2													200601300090	20060130009001	6478.69489089288
62	04	01	6480.2427046	1	100000	24	2					2													200601300090	20060130009001	6478.69489089288
62	05	01	6480.2427046	1		20	2					2													200601300090	20060130009001	6478.69489089288
62	01	01	4745.2345572	2			2					2													200601300091	20060130009101	4761.37643783548
62	02	01	4745.2345572	2			2					2													200601300091	20060130009101	4761.37643783548
62	01	01	5736.2194832	2			2					2													200601300092	20060130009201	5793.77480693293
62	02	01	5736.2194832	2			2					2													200601300092	20060130009201	5793.77480693293
62	01	01	3317.4920465	2			2					2													200601300093	20060130009301	3263.95154789512
