Reg	Orden	Hogar	Fex_c	P3	P4	P5	P6	P7	P8	P8a	P8b	P9	P10	P10a	P10b	P10c	P10n	P10u	Llave_viv	Llave_hog	Fex_c_2011
10	01	01	3757.1850339	01	1	51	2	1	2	2	01		305				3	5	200601300021	20060130002101	3736.7987578283
10	02	01	3757.1850339	02	2	47	2	1	2	2	07		305				3	5	200601300021	20060130002101	3736.7987578283
10	03	01	3757.1850339	03	1	20	5	1	2	2	01		611				6	11	200601300021	20060130002101	3736.7987578283
10	04	01	3757.1850339	03	1	16	5	1	2	2	04		611				6	11	200601300021	20060130002101	3736.7987578283
10	05	01	3757.1850339	03	2	15	5	1	1			1	408				4	8	200601300021	20060130002101	3736.7987578283
10	06	01	3757.1850339	03	2	12	5	1	1			1	407				4	7	200601300021	20060130002101	3736.7987578283
10	07	01	3757.1850339	03	1	23	2	1	2	2	01		611				6	11	200601300021	20060130002101	3736.7987578283
10	08	01	3757.1850339	04	2	23	2	1	2	2	07		611				6	11	200601300021	20060130002101	3736.7987578283
10	09	01	3757.1850339	08	1	58	5	1	2	2	01		305				3	5	200601300021	20060130002101	3736.7987578283
10	01	01	5078.1250089	01	1	41	2	1	2	2	01		305				3	5	200601300022	20060130002201	5041.5899066655
10	02	01	5078.1250089	02	2	40	2	1	2	2	07		305				3	5	200601300022	20060130002201	5041.5899066655
10	03	01	5078.1250089	03	1	17	5	1	1			1	501				5	1	200601300022	20060130002201	5041.5899066655
10	04	01	5078.1250089	03	1	12	5	1	1			1	407				4	7	200601300022	20060130002201	5041.5899066655
10	05	01	5078.1250089	03	1	8	5	1	1			1	301	2	2		3	1	200601300022	20060130002201	5041.5899066655
10	06	01	5078.1250089	03	2	1	5												200601300022	20060130002201	5041.5899066655
10	01	01	4308.9990648	01	1	85	2	2	2	2	11		302				3	2	200601300023	20060130002301	4307.28504307732
10	02	01	4308.9990648	02	2	83	2	1	2	2	11		302				3	2	200601300023	20060130002301	4307.28504307732
10	03	01	4308.9990648	03	1	50	5	1	2	2	11		305				3	5	200601300023	20060130002301	4307.28504307732
10	04	01	4308.9990648	03	1	44	5	1	2	2	02		611				6	11	200601300023	20060130002301	4307.28504307732
10	01	01	3756.2611832	01	1	40	1	1	2	2	01		305				3	5	200601300024	20060130002401	3718.01290462532
10	02	01	3756.2611832	02	2	22	1	1	2	2	07		305				3	5	200601300024	20060130002401	3718.01290462532
10	03	01	3756.2611832	03	2	6	5	2	1			1	200	2	2		2	0	200601300024	20060130002401	3718.01290462532
10	04	01	3756.2611832	03	1	3	5												200601300024	20060130002401	3718.01290462532
