Reg	Orden	Hogar	Area	Fex_c	Rama4d	P49	P50	P51	P52	P52na	P53	P54	P55	P56	P57	P57na	Valor58a	Valor58b	Valor58c	Valor59a	Valor59b	Valor59c	Dsi	Llave_viv	Llave_hog	Fex_c_2011
70	07	01	05	352.88695301	6421	4	48	45	1	01	2	4	44	64	1	1	0	0	0	0	0	0	1	200601100192	20060110019201	352.884377515262
70	05	01	05	675.31728491		52	48	39	1	07	1						0	0	0	0	0	0	1	200601100193	20060110019301	677.089660936286
70	01	01	05	875.06354312	2010	34	48	58	1	05	2	34	63	20	1	7	0	0	0	0	0	0	1	200601100195	20060110019501	875.664379042936
70	03	02	05	875.06354312	1551	2	48	95	1	01	2	8	77	15	1	0	0	0	0	0	0	0	1	200601100195	20060110019502	875.664379042936
70	01	02	05	641.66262968	9500	3	48	53	1	02	2	4	54	95	1	0	0	0	0	0	0	0	1	200601100200	20060110020002	637.677718852126
70	02	02	05	641.66262968	5522	4	48	54	3	02	2	4	53	55	1	7	0	0	0	98	0	0	1	200601100200	20060110020002	637.677718852126
70	04	01	05	838.48943467	4521	104	48	95	1	01	2	104	95	45	1	8	0	0	0	0	0	0	1	200601100204	20060110020401	840.058797791082
70	03	01	05	574.58917511		52	48	45	1	01	1						0	0	0	0	0	0	1	200601100215	20060110021501	573.954475231872
70	01	01	05	729.54896498	4521	52	48	95	1	14	2	4	95	45	1	8	350000	0	0	0	0	0	1	200601100219	20060110021901	732.597419428744
70	04	01	05	927.83561838	4521	4	48	95	1	01	2	4	95	45	1	8	98	0	0	0	0	0	1	200601100221	20060110022101	927.702676741644
70	05	01	05	927.83561838	1810	26	48	97	1	01	2	26	79	18	1	8	0	0	0	0	0	0	1	200601100221	20060110022101	927.702676741644
70	07	01	05	927.83561838	1810	8	48	79	1	01	2	8	79	18	1	8	0	0	0	0	0	0	1	200601100221	20060110022101	927.702676741644
70	01	01	05	573.10110238	7493	52	48	55	4	01	2	30	55	74	4	8	0	0	0	98	0	0	1	200601100222	20060110022201	570.917280544129
70	06	01	05	573.10110238	4521	17	48	95	1	01	2	17	95	45	1	8	0	0	0	0	0	0	1	200601100222	20060110022201	570.917280544129
70	01	01	05	760.0682691	4521	1	48	95	4	01	2	1	95	45	4	8	440000	0	0	0	0	0	1	200601100226	20060110022601	760.29421777679
70	02	01	05	688.25574666	1810	156	48	59	1	01	2	52	79	18	1	3	0	0	0	0	0	0	1	200601100227	20060110022701	687.763540991129
70	03	01	05	688.25574666	9500	17	48	45	1	01	2	17	54	95	1	6	0	0	0	0	0	0	1	200601100227	20060110022701	687.763540991129
70	01	01	05	442.01305872	7522	52	48	58	1	01	2	4	58	75	1	6	98	0	0	0	0	98	1	200601100234	20060110023401	441.561395672523
70	05	01	05	442.01305872		52	48	45	1	01	1						0	0	0	0	0	0	1	200601100234	20060110023401	441.561395672523
70	05	01	05	621.08560484		104	48	54	3	07	1						0	0	0	0	0	0	1	200601100248	20060110024801	621.581902443827
70	09	01	05	357.35298544		4	48	45	1	07	1						0	0	0	0	0	0	1	200601100251	20060110025101	357.41106638672
70	04	01	05	547.70253327	5225	52	48	37	1	01	2	52	97	52	1	8	0	0	0	0	0	0	1	200601100253	20060110025301	543.252535557198
70	03	01	05	683.05253524	1929	4	48	80	1	01	2	4	80	19	1	8	300000	0	0	0	0	0	1	200601100261	20060110026101	684.969992216788
70	04	01	05	683.05253524	1810	52	48	79	1	14	2	4	79	18	4	8	30000	0	0	0	0	0	1	200601100261	20060110026101	684.969992216788
70	01	01	05	828.67805772	5030	4	48	37	1	01	2	4	37	50	1	8	0	0	0	0	0	0	1	200601100263	20060110026301	830.366181138198
70	03	01	05	828.67805772	1810	156	48	79	1	01	2	26	79	18	1	8	0	0	0	0	0	0	1	200601100263	20060110026301	830.366181138198
