Reg	Orden	Hogar	Area	Fex_c	P3	P4	P5	P6	P7	P8	Pn8a	Pn8b	P9	P10	P10n	P10u	Llave_viv	Llave_hog	Fex_c_2011
10	02	01	05	628.93179952	03	1	24	5	1	2	2	01		408	4	8	200601100026	20060110002601	631.791463031547
10	03	01	05	628.93179952	03	1	15	5	1	1			1	409	4	9	200601100026	20060110002601	631.791463031547
10	04	01	05	628.93179952	03	2	13	5	1	1			1	407	4	7	200601100026	20060110002601	631.791463031547
10	01	01	05	721.30708969	01	1	34	2	1	2	2	01		611	6	11	200601100027	20060110002701	720.547121845338
10	02	01	05	721.30708969	02	2	34	2	1	2	2	07		611	6	11	200601100027	20060110002701	720.547121845338
10	03	01	05	721.30708969	03	1	12	5	1	1			1	406	4	6	200601100027	20060110002701	720.547121845338
10	04	01	05	721.30708969	03	2	8	5	1	1			1	303	3	3	200601100027	20060110002701	720.547121845338
10	05	01	05	721.30708969	03	2	6	5	2	1			1	300	3	0	200601100027	20060110002701	720.547121845338
10	01	01	05	611.8280667	01	1	63	2	1	2	2	01		304	3	4	200601100028	20060110002801	611.214406115766
10	02	01	05	611.8280667	02	2	59	2	1	2	2	07		304	3	4	200601100028	20060110002801	611.214406115766
10	03	01	05	611.8280667	05	2	17	5	1	2	2	02		305	3	5	200601100028	20060110002801	611.214406115766
10	04	01	05	611.8280667	09	1	1	5									200601100028	20060110002801	611.214406115766
10	01	01	05	713.57183936	01	1	32	1	1	2	2	01		408	4	8	200601100029	20060110002901	712.666790564835
10	02	01	05	713.57183936	02	2	27	1	1	2	2	07		610	6	10	200601100029	20060110002901	712.666790564835
10	03	01	05	713.57183936	03	1	12	5	1	1			1	406	4	6	200601100029	20060110002901	712.666790564835
10	04	01	05	713.57183936	03	2	9	5	1	1			1	304	3	4	200601100029	20060110002901	712.666790564835
10	05	01	05	713.57183936	03	1	2	5									200601100029	20060110002901	712.666790564835
10	01	01	05	755.20407524	01	2	50	2	1	2	2	07		305	3	5	200601100030	20060110003001	752.982586696866
10	02	01	05	755.20407524	02	1	55	2	1	2	2	01		302	3	2	200601100030	20060110003001	752.982586696866
10	03	01	05	755.20407524	03	1	25	5	1	2	2	01		303	3	3	200601100030	20060110003001	752.982586696866
10	04	01	05	755.20407524	03	2	9	5	1	1			1	301	3	1	200601100030	20060110003001	752.982586696866
10	05	01	05	755.20407524	03	1	6	5	1	1			1	301	3	1	200601100030	20060110003001	752.982586696866
10	01	01	05	748.84578871	01	2	46	1	1	2	2	01		408	4	8	200601100031	20060110003101	749.974875976661
10	02	01	05	748.84578871	02	1	55	1	1	2	2	01		409	4	9	200601100031	20060110003101	749.974875976661
10	03	01	05	748.84578871	03	1	20	5	1	2	2	02		503	5	3	200601100031	20060110003101	749.974875976661
10	01	01	05	767.80351943	01	1	38	2	1	2	2	01		301	3	1	200601100032	20060110003201	768.174549057293
