Reg	Orden	Hogar	Area	Fex_c	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	Llave_viv	Llave_hog	Fex_c_2011
50	02	01	05	713.57183936	2	4	2	2	2	2	2							200601100029	20060110002901	712.666790564835
50	03	01	05	713.57183936	2	3	2	2	2	2	2							200601100029	20060110002901	712.666790564835
50	01	01	05	755.20407524	1	4	2	2	2	2	2							200601100030	20060110003001	752.982586696866
50	02	01	05	755.20407524	1	1												200601100030	20060110003001	752.982586696866
50	03	01	05	755.20407524	1	2	2	2	2	1							1	200601100030	20060110003001	752.982586696866
50	01	01	05	748.84578871	1	1												200601100031	20060110003101	749.974875976661
50	02	01	05	748.84578871	1	1												200601100031	20060110003101	749.974875976661
50	03	01	05	748.84578871	1	5	2	2	2	1							1	200601100031	20060110003101	749.974875976661
50	01	01	05	767.80351943	2	1												200601100032	20060110003201	768.174549057293
50	02	01	05	767.80351943	2	1												200601100032	20060110003201	768.174549057293
50	03	01	05	767.80351943	2	3	2	2	2	1							1	200601100032	20060110003201	768.174549057293
50	01	01	05	603.75981876	2	1												200601100033	20060110003301	600.511042093384
50	02	01	05	603.75981876	2	4	2	2	2	2	2							200601100033	20060110003301	600.511042093384
50	03	01	05	603.75981876	2	5	2	2	2	1							1	200601100033	20060110003301	600.511042093384
50	01	01	05	504.91522227	3	4	2	2	2	1							1	200601100034	20060110003401	502.722577479303
50	02	01	05	504.91522227	3	4	2	2	2	1							1	200601100034	20060110003401	502.722577479303
50	03	01	05	504.91522227	3	4	2	2	2	1							1	200601100034	20060110003401	502.722577479303
50	04	01	05	504.91522227	3	1												200601100034	20060110003401	502.722577479303
50	05	01	05	504.91522227	3	3	2	2	2	2	2							200601100034	20060110003401	502.722577479303
50	01	01	05	627.38120837	1	1												200601100035	20060110003501	625.571908910224
50	02	01	05	627.38120837	2	4	2	2	2	2	1	12						200601100035	20060110003501	625.571908910224
50	01	01	05	677.06017389	1	4	2	2	2	2	1	11						200601100036	20060110003601	676.547702973692
50	02	01	05	677.06017389	2	4	2	2	2	1							1	200601100036	20060110003601	676.547702973692
50	01	01	05	814.29994916	2	1												200601100037	20060110003701	815.801976269249
50	02	01	05	814.29994916	2	1												200601100037	20060110003701	815.801976269249
50	03	01	05	814.29994916	2	1												200601100037	20060110003701	815.801976269249
50	01	01	05	666.05974677	2	1												200601100038	20060110003801	666.722164608224
50	02	01	05	666.05974677	2	1												200601100038	20060110003801	666.722164608224
50	03	01	05	666.05974677	2	1												200601100038	20060110003801	666.722164608224
50	01	01	05	712.30581991	2	1												200601100039	20060110003901	710.123399311754
