Reg	Orden	Hogar	Area	Fex_c	P24	P26	P27	P27na	P27nba	P27nbb	Valor28	P29	Valor29	P30	Valor30	P30a	Valor30a	P30b	Valor30b	Valor31	Valor32a	Valor32b	Valor33a	Valor33b	Valor33c	P33a	P33b	P33c	P33d	P33e	Rama4d	Oci	Llave_viv	Llave_hog	Fex_c_2011
60	01	01	05	747.69214372	58	80	2	1	1		425000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	8044	1	200601100049	20060110004901	746.746375170526
60	01	01	05	725.30371302	62	24	1	1	2	03	425000	2		2		2		2			0	0	0	0	0	1	1	1	1	1	2424	1	200601100051	20060110005101	722.377899240471
60	01	01	05	815.71639678	97	21	1	1	1		650000	1	90000	2		2		2			0	0	0	0	0	1	1	1	1	1	2101	1	200601100052	20060110005201	817.327099442875
60	02	01	05	903.20876495	79	18	4													98	0	0	0	0	0	1	2		2		1810	1	200601100053	20060110005301	905.833949576742
60	03	01	05	903.20876495	97	63	1	1	2	03	381500	2		2		2		2			0	0	0	0	0	1	1	1	1	1	6310	1	200601100053	20060110005301	905.833949576742
60	01	01	05	718.46242445	54	95	4													80000	0	0	0	0	0	1	2		2		9500	1	200601100054	20060110005401	720.115880685632
60	04	01	05	718.46242445	16	74	4													100000	0	0	0	0	0	1	2		2		7494	1	200601100054	20060110005401	720.115880685632
60	02	01	05	783.83310608	77	15	4													20000	0	0	0	0	0	1	2		2		1521	1	200601100055	20060110005501	783.822797761334
60	04	01	05	783.83310608	95	45	1	2			98	2		2		2		2			0	0	0	0	0	1	2		2		4521	1	200601100055	20060110005501	783.822797761334
60	07	01	05	783.83310608	54	95	4													150000	0	0	450000	0	0	1	2		2		9500	1	200601100055	20060110005501	783.822797761334
60	03	01	05	1028.4045804	37	64	4													98	0	0	0	0	0	1	2		2		6412	1	200601100056	20060110005601	1026.89780109964
60	01	02	05	1028.4045804	80	19	1	2			300000	2		2		2		2			0	0	0	0	0	1	2		2		1923	1	200601100056	20060110005602	1026.89780109964
60	02	01	05	708.36633549	54	95	4													240000	0	0	0	0	0	2			2		9500	1	200601100057	20060110005701	711.331926579793
60	06	01	05	708.36633549	45	55	1	2			120000	2		2		2		2			0	0	0	0	0	2			2		5530	1	200601100057	20060110005701	711.331926579793
60	03	01	05	975.44361416	80	19	1	2			150000	2		2		2		2			0	0	0	0	0	1	2		2		1924	1	200601100058	20060110005801	976.311485437367
60	02	01	05	513.0408881	41	52	4													400000	0	0	0	0	0	1	2		2		5222	1	200601100059	20060110005901	515.779083525388
60	04	01	05	513.0408881	87	50	1	2			98	2		2		2		2			0	0	0	0	0	1	2		2		5020	1	200601100059	20060110005901	515.779083525388
60	01	01	05	779.76138315	92	22	4													450000	0	0	0	0	0	1	2		2		2233	1	200601100060	20060110006001	777.733960412331
