Reg	Orden	Hogar	Area	Fex_c	P60	P61	P61na	P62	P63	P64	P64na	Valor65a	Valor65b	Valor65c	Valor66a	Valor66b	Valor66c	Ini	Llave_viv	Llave_hog	Fex_c_2011
80	04	01	05	880.12167055	1	4	0	2				0	0	0	98	0	0	1	200601100078	20060110007801	880.374593923114
80	03	01	05	588.90460065	2				2			0	0	0	0	0	0	1	200601100079	20060110007901	589.500975847013
80	01	01	05	528.27239268	1	4	4	2				0	0	0	0	0	0	1	200601100080	20060110008001	520.332866533478
80	08	01	05	528.27239268	1	1	8	2				0	0	0	0	0	0	1	200601100080	20060110008001	520.332866533478
80	11	01	05	528.27239268								0	0	0	0	0	0	1	200601100080	20060110008001	520.332866533478
80	02	01	05	720.04107024	1	4	3	2				0	0	0	0	0	0	1	200601100084	20060110008401	718.003730592257
80	02	01	05	820.76918004	1	4	3	2				0	0	0	0	0	0	1	200601100085	20060110008501	821.13891629667
80	02	01	05	720.04107024	2				2			0	0	0	0	0	0	1	200601100086	20060110008601	718.003730592257
80	02	01	05	814.29994916	2				2			0	0	0	0	0	0	1	200601100088	20060110008801	815.801976269249
80	01	01	05	766.53749997	1	3	8	1		2	07	0	1500000	0	0	0	0	1	200601100089	20060110008901	765.631157804212
80	03	01	05	736.01819586	2				2			0	0	0	0	0	0	1	200601100090	20060110009001	737.934359456166
80	04	01	05	736.01819586	2				2			0	0	0	0	0	0	1	200601100090	20060110009001	737.934359456166
80	02	01	05	788.65085886	1	3	8	1		2	08	0	0	0	0	0	0	1	200601100091	20060110009101	788.075693953664
80	01	01	05	809.79566054	2				2			0	500000	0	0	0	0	1	200601100093	20060110009301	810.416881713895
80	02	01	05	568.4589618	1	2	3	2				0	0	0	0	0	0	1	200601100094	20060110009401	564.099452898866
80	07	01	05	568.4589618								0	0	0	600000	0	0	1	200601100094	20060110009401	564.099452898866
80	02	01	05	681.78651579	2				1	1	09	0	0	0	50000	0	0	1	200601100095	20060110009501	682.426600963707
80	04	01	05	681.78651579	2				2			0	0	0	0	0	0	1	200601100095	20060110009501	682.426600963707
