Reg	Orden	Hogar	Area	Fex_c	Oci	P37	P37na	Valor38	P39	P40	P41	P42	P43	P44	P45	P46a	P46b	P46c	P46d	P46e	P46f	P46g	P46h	P46i	P47	P48	Llave_viv	Llave_hog	Fex_c_2011
62	03	01	05	975.44361416	1	2				2					1		1								1	1	200601100058	20060110005801	976.311485437367
62	02	01	05	513.0408881	1	2				2					2												200601100059	20060110005901	515.779083525388
62	04	01	05	513.0408881	1	2				2					2												200601100059	20060110005901	515.779083525388
62	01	01	05	779.76138315	1	2				2					1		1								1	1	200601100060	20060110006001	777.733960412331
62	01	01	05	615.56491943	1	2				2					2												200601100061	20060110006101	616.004504529027
62	01	01	05	820.76918004	1	2				2					2												200601100062	20060110006201	821.13891629667
62	02	01	05	820.76918004	1	2				2					2												200601100062	20060110006201	821.13891629667
62	01	01	05	755.31501959	1	2				2					2												200601100063	20060110006301	755.311816004083
62	02	01	05	755.31501959	1	2				2					2												200601100063	20060110006301	755.311816004083
62	01	01	05	713.57183936	1	2				2					2												200601100064	20060110006401	712.666790564835
62	02	01	05	713.57183936	1	2				2					1		1								2	1	200601100064	20060110006401	712.666790564835
62	01	01	05	657.73644255	1	2				1	15	1	1	2													200601100065	20060110006501	660.066742643082
62	01	01	05	565.1922247	1	2				2					1		1				1		1		2	1	200601100066	20060110006601	561.690015702602
62	01	01	05	742.48742673	1	2				2					1		1								1	1	200601100067	20060110006701	743.271299483587
62	02	01	05	742.48742673	1	2				2					1	1	1								1	1	200601100067	20060110006701	743.271299483587
62	01	01	05	720.15201458	1	2				2					1		1								1	1	200601100069	20060110006901	720.332959899474
62	02	01	05	824.17376909	1	2				2					2												200601100070	20060110007001	824.981086582844
62	03	01	05	824.17376909	1	2				2					1		1								1	1	200601100070	20060110007001	824.981086582844
62	01	01	05	774.2727503	1	2				2					1		1								1	1	200601100071	20060110007101	773.511489084715
62	02	01	05	774.2727503	1	2				2					2												200601100071	20060110007101	773.511489084715
62	01	01	05	702.7092642	1	2				2					2												200601100072	20060110007201	704.273985289276
62	03	01	05	611.12914391	1	2				2					2												200601100073	20060110007301	613.805951896779
62	05	01	05	611.12914391	1	2				2					2												200601100073	20060110007301	613.805951896779
62	06	01	05	611.12914391	1	2				2					2												200601100073	20060110007301	613.805951896779
62	01	01	05	528.03006236	1	2				2					2												200601100074	20060110007401	527.309343766109
62	01	01	05	695.990997	1	2				2					2												200601100075	20060110007501	695.643872271632
62	01	01	05	761.33428855	1	2				2					2												200601100076	20060110007601	762.837609029871
62	02	01	05	761.33428855	1	2				2					2												200601100076	20060110007601	762.837609029871
62	03	01	05	761.33428855	1	2				2					2												200601100076	20060110007601	762.837609029871
62	01	01	05	588.90460065	1	2				2					2												200601100079	20060110007901	589.500975847013
62	03	01	05	528.27239268	1	2				1	15	1	1	1			1		1						1	1	200601100080	20060110008001	520.332866533478
62	01	01	05	744.34150008	1	2				2					2												200601100081	20060110008101	744.589781421308
62	02	01	05	744.34150008	1	2				2					2												200601100081	20060110008101	744.589781421308
62	01	01	05	720.04107024	1	1	6		15	2					2												200601100082	20060110008201	718.003730592257
62	02	01	05	720.04107024	1	1	4	100000	00	1	10	2	1	1			1								2	1	200601100082	20060110008201	718.003730592257
62	01	01	05	788.65085886	1	2				2					2												200601100083	20060110008301	788.075693953664
62	02	01	05	788.65085886	1	2				2					2												200601100083	20060110008301	788.075693953664
62	03	01	05	788.65085886	1	2				2					2												200601100083	20060110008301	788.075693953664
62	01	01	05	720.04107024	1	2				2					2												200601100084	20060110008401	718.003730592257
62	01	01	05	820.76918004	1	2				2					2												200601100085	20060110008501	821.13891629667
62	01	01	05	720.04107024	1	2				2					2												200601100086	20060110008601	718.003730592257
62	01	01	05	673.65558484	1	2				2					1	1	1								2	1	200601100087	20060110008701	672.705532687518
62	01	01	05	814.29994916	1	2				2					1								1		1	1	200601100088	20060110008801	815.801976269249
62	02	01	05	766.53749997	1	2				2					2												200601100089	20060110008901	765.631157804212
62	01	01	05	736.01819586	1	2				2					1				1						1	1	200601100090	20060110009001	737.934359456166
62	02	01	05	736.01819586	1	2				2					2												200601100090	20060110009001	737.934359456166
62	01	01	05	788.65085886	1	2				2					1		1		1						1	1	200601100091	20060110009101	788.075693953664
62	03	01	05	788.65085886	1	2				2					1	1	1		1						1	1	200601100091	20060110009101	788.075693953664
62	01	01	05	830.16613044	1	2				1	48	1	1	1			1								1	1	200601100092	20060110009201	833.40337582594
62	02	01	05	830.16613044	1	2				2					1		1		1						1	1	200601100092	20060110009201	833.40337582594
62	03	01	05	830.16613044	1	2				2					2												200601100092	20060110009201	833.40337582594
62	04	01	05	830.16613044	1	2				2					1		1		1						1	1	200601100092	20060110009201	833.40337582594
62	06	01	05	830.16613044	1	2				2					1		1								1	1	200601100092	20060110009201	833.40337582594
62	02	01	05	809.79566054	1	2				2					2												200601100093	20060110009301	810.416881713895
62	01	01	05	568.4589618	1	2				2					2												200601100094	20060110009401	564.099452898866
62	08	01	05	568.4589618	1	2				2					1		1		1						2	1	200601100094	20060110009401	564.099452898866
62	01	01	05	681.78651579	1	2				1	30	1	1	1		1	1						1		1	1	200601100095	20060110009501	682.426600963707
62	01	01	05	820.76918004	1	2				2					1		1						1		2	1	200601100096	20060110009601	821.13891629667
62	01	01	05	695.990997	1	2				2					2												200601100097	20060110009701	695.643872271632
62	03	01	05	695.990997	1	2				2					2												200601100097	20060110009701	695.643872271632
62	02	01	05	844.95866554	1	2				2					2												200601100098	20060110009801	845.395737818504
62	03	01	05	844.95866554	1	2				2					2												200601100098	20060110009801	845.395737818504
62	01	01	05	688.25574666	1	2				2					2												200601100099	20060110009901	687.763540991129
